Dong,화재_화재현황_Autonomous Gu_Autonomous Gu,화재_화재현황_No. of fire Incidents_Total,화재_화재현황_No. of fire Incidents_Accident,화재_화재현황_No. of fire Incidents_Arson,화재_화재현황_No. of fire Incidents_Others,화재_화재현황_Burnt_No. of  buildings,화재_화재현황_Burnt_No. of house-holds,화재_화재현황_Burnt_Area Burnt,화재_화재현황_Value of damages_Total,화재_화재현황_Value of damages_Immovable property,화재_화재현황_Value of damages_Movable property,화재_화재현황_Reduction amount of property damaged_Reduction amount of property damaged,화재_화재현황_Casualties_Total,화재_화재현황_Casualties_Death,화재_화재현황_Casualties_Injury,화재_화재현황_No. of victims_No. of victims,화재_화재현황_No. of therescued_No. of therescued
Singil 3(sam)-dong,Yeongdeungpo-gu,6.0,4.0,2,-,5,-,108,65347,49620,15727,472526,1,-,1,-,1
Singil 4(sa)-dong,Yeongdeungpo-gu,9.0,7.0,-,2,4,-,120,103669,66808,36861,29584,-,-,-,-,-
Singil 5(o)-dong,Yeongdeungpo-gu,3.0,3.0,-,-,2,-,1,940,315,625,293389,-,-,-,-,1
Singil 6(yuk)-dong,Yeongdeungpo-gu,20.0,16.0,1,3,11,-,60,60904,35683,25221,1299664,-,-,-,-,4
Singil 7(chil)-dong,Yeongdeungpo-gu,3.0,3.0,-,-,2,-,50,27679,14108,13571,108399,1,-,1,2,-
Daerim 1(il)-dong,Yeongdeungpo-gu,6.0,4.0,1,1,2,-,-,2419,376,2043,7124,-,-,-,-,-
Daerim 2(i)-dong,Yeongdeungpo-gu,5.0,4.0,1,-,4,-,-,2989,569,2420,489788,-,-,-,-,-
Daerim 3(sam)-dong,Yeongdeungpo-gu,13.0,11.0,2,-,10,-,82,167961,17202,150759,1576054,1,-,1,-,1
Yeongdeungpobon-dong,Yeongdeungpo-gu,11.0,10.0,1,-,7,-,10,1646,401,1245,339032,-,-,-,-,-
Yeongdeungpo-dong,Yeongdeungpo-gu,37.0,23.0,9,5,21,-,309,130459,77647,52812,4040391,3,1,2,-,1
Dorim-dong,Yeongdeungpo-gu,11.0,9.0,2,-,7,-,11,19667,11532,8135,1291239,-,-,-,-,-
Mullae-dong,Yeongdeungpo-gu,24.0,20.0,-,4,12,-,884,2569773,183493,2386280,18053789,2,1,1,-,1
Noryangjin 2(i)-dong,Dongjak-gu,5.0,5.0,-,-,1,-,-,403,129,274,49041,-,-,-,-,-
Sangdo 1(il)-dong,Dongjak-gu,15.0,12.0,-,3,5,-,32,17818,8787,9031,276568,-,-,-,-,-
Sangdo 2(i)-dong,Dongjak-gu,12.0,11.0,-,1,5,-,22,13227,7174,6053,309270,-,-,-,-,-
Sangdo 3(sam)-dong,Dongjak-gu,7.0,7.0,-,-,-,-,-,243,92,151,16281,-,-,-,-,-
Sangdo 4(sa)-dong,Dongjak-gu,11.0,11.0,-,-,5,1,12,10444,4909,5535,123442,-,-,-,4,-
Sadang 1(il)-dong,Dongjak-gu,13.0,13.0,-,-,1,-,-,1730,71,1659,43518,-,-,-,-,-
