Dong,복지_국민기초생활보장수급자_Autonomous Gu_Autonomous Gu,복지_국민기초생활보장수급자_Total recipients_Households,복지_국민기초생활보장수급자_Total recipients_Facility,복지_국민기초생활보장수급자_Total recipients_Persons,복지_국민기초생활보장수급자_General Recipients_Households,복지_국민기초생활보장수급자_General Recipients_Persons,복지_국민기초생활보장수급자_Conditional recipients_Households,복지_국민기초생활보장수급자_Conditional recipients_Persons,복지_국민기초생활보장수급자_Special recipients_Households,복지_국민기초생활보장수급자_Special recipients_Persons,복지_국민기초생활보장수급자_Institutional Recipients_Facility,복지_국민기초생활보장수급자_Institutional Recipients_Persons
Chang 2(i)-dong,Dobong-gu,294,1,553.0,229,374,59,161,6,15,1,3
Chang 3(sam)-dong,Dobong-gu,271,-,412.0,236,346,35,66,-,-,-,-
Chang 4(sa)-dong,Dobong-gu,96,-,125.0,86,106,10,19,-,-,-,-
Chang 5(o)-dong,Dobong-gu,115,1,165.0,92,119,23,45,-,-,1,1
Dobong 1(il)-dong,Dobong-gu,420,1,636.0,363,504,52,123,5,6,1,3
Dobong 2(i)-dong,Dobong-gu,326,1,443.0,296,380,26,58,4,4,1,1
Wolgye 1(il)-dong,Nowon-gu,234,1,369.0,219,342,13,23,2,3,1,1
Wolgye 2(i)-dong,Nowon-gu,1669,1,2741.0,1551,2489,105,223,13,28,1,1
Wolgye 3(sam)-dong,Nowon-gu,946,-,1500.0,859,1317,72,155,15,28,-,-
Gongneung 2(i)-dong,Nowon-gu,303,-,482.0,287,449,13,30,3,3,-,-
Hagye 1(il)-dong,Nowon-gu,1405,3,2372.0,1274,2086,112,244,19,41,3,1
Hagye 2(i)-dong,Nowon-gu,461,1,873.0,424,773,30,83,7,17,1,-
Junggyebon-dong,Nowon-gu,187,2,323.0,164,262,19,52,4,5,2,4
Junggye 1(il)-dong,Nowon-gu,336,1,560.0,295,482,37,69,4,4,1,5
Junggye 4(sa)-dong,Nowon-gu,718,-,1190.0,668,1083,39,85,11,22,-,-
Sanggye 1(il)-dong,Nowon-gu,471,5,863.0,417,683,39,91,15,28,5,61
Sanggye 2(i)-dong,Nowon-gu,281,2,407.0,247,339,27,50,7,14,2,4
Sanggye 5(o)-dong,Nowon-gu,437,8,803.0,380,655,40,102,17,39,8,7
Sanggye 8(pal)-dong,Nowon-gu,69,-,111.0,65,105,3,4,1,2,-,-
Sanggye 9(gu)-dong,Nowon-gu,99,-,169.0,90,145,9,24,-,-,-,-
Sanggye 10(sip)-dong,Nowon-gu,92,-,161.0,84,142,6,17,2,2,-,-
Sanggye 3.4(sam.sa)-dong,Nowon-gu,1149,1,1692.0,1021,1471,97,180,31,41,1,-
Sanggye 6.7(yuk.chil)-dong,Nowon-gu,225,1,476.0,194,387,29,81,2,2,1,6
Junggye 2.3(i.sam)-dong,Nowon-gu,2004,2,3896.0,1826,3348,147,405,31,76,2,67
Gongneung 1(il)-dong,Nowon-gu,1067,5,1737.0,991,1553,53,120,23,62,5,2
Nokbeon-dong,Eunpyeong-gu,407,5,576.0,343,457,38,75,26,43,5,1
Bulgwang 1(il)-dong,Eunpyeong-gu,464,1,685.0,399,558,42,93,23,33,1,1
Galhyeon 1(il)-dong,Eunpyeong-gu,519,2,881.0,416,651,81,186,22,40,2,4
Galhyeon 2(i)-dong,Eunpyeong-gu,383,1,683.0,294,455,68,183,21,43,1,2
