Dong,楳舛_爽託舌_Gu_Gu_Gu_Gu,楳舛_爽託舌_Total_Total_Total_Number,楳舛_爽託舌_Total_Total_Total_Space,楳舛_爽託舌_Total_Public_Public_Number,楳舛_爽託舌_Total_Public_Public_Space,楳舛_爽託舌_Total_Private_Private_Number,楳舛_爽託舌_Total_Private_Private_Space,楳舛_爽託舌_Street parking_Total_Total_Number,楳舛_爽託舌_Street parking_Total_Total_Space,楳舛_爽託舌_Street parking_推榎採引紺_政戟_Number,楳舛_爽託舌_Street parking_推榎採引紺_政戟_Space,楳舛_爽託舌_Street parking_推榎採引紺_巷戟_Number,楳舛_爽託舌_Street parking_推榎採引紺_巷戟_Space,楳舛_爽託舌_Street parking_錘慎爽端紺_獣慎_Number,楳舛_爽託舌_Street parking_錘慎爽端紺_獣慎_Space,楳舛_爽託舌_Street parking_錘慎爽端紺_姥慎_Number,楳舛_爽託舌_Street parking_錘慎爽端紺_姥慎_Space,楳舛_爽託舌_Street parking_錘慎爽端紺_暗爽切酔識_Number,楳舛_爽託舌_Street parking_錘慎爽端紺_暗爽切酔識_Space,楳舛_爽託舌_Non-Street parking_Total_Total_Number,楳舛_爽託舌_Non-Street parking_Total_Total_Space,楳舛_爽託舌_Non-Street parking_獣慎_獣慎_Number,楳舛_爽託舌_Non-Street parking_獣慎_獣慎_Space,楳舛_爽託舌_Non-Street parking_姥慎_姥慎_Number,楳舛_爽託舌_Non-Street parking_姥慎_姥慎_Space,楳舛_爽託舌_Non-Street parking_Private_Private_Number,楳舛_爽託舌_Non-Street parking_Private_Private_Space,楳舛_爽託舌_Attached to buildings_Total_Total_Number,楳舛_爽託舌_Attached to buildings_Total_Total_Space,楳舛_爽託舌_Attached to buildings_析鋼爽澱_析鋼爽澱_Number,楳舛_爽託舌_Attached to buildings_析鋼爽澱_析鋼爽澱_Space,楳舛_爽託舌_Attached to buildings_因疑爽澱_因疑爽澱_Number,楳舛_爽託舌_Attached to buildings_因疑爽澱_因疑爽澱_Space,楳舛_爽託舌_Attached to buildings_析鋼闇逐弘_析鋼闇逐弘_Number,楳舛_爽託舌_Attached to buildings_析鋼闇逐弘_析鋼闇逐弘_Space
Seokchon-dong,Songpa-gu,1885,13026,44,987,1841,12039,40,871,40,871,-,-,-,-,40,871,-,-,8,217,-,-,4,116,4,101,1837,11938,488,1658,907,6712,442,3568
Samjeon-dong,Songpa-gu,1773,11474,31,815,1742,10659,30,617,30,617,-,-,-,-,30,617,-,-,2,211,-,-,1,198,1,13,1741,10646,484,1815,951,6278,306,2553
Garakbon-dong,Songpa-gu,921,14866,28,1381,893,13485,26,1236,26,1236,-,-,-,-,26,1236,-,-,3,161,-,-,2,145,1,16,892,13469,195,567,253,6529,444,6373
Garak 1(il)-dong,Songpa-gu,4,8249,-,-,4,8249,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,8249,-,-,2,2375,2,5874
Garak 2(i)-dong,Songpa-gu,837,12109,30,1182,807,10927,29,1175,29,1175,-,-,-,-,29,1175,-,-,2,36,-,-,1,7,1,29,806,10898,186,560,311,7587,309,2751
Munjeong 1(il)-dong,Songpa-gu,708,9066,19,960,689,8106,18,674,18,674,-,-,-,-,18,674,-,-,2,296,-,-,1,286,1,10,688,8096,149,419,270,5919,269,1758
Munjeong 2(i)-dong,Songpa-gu,30,13487,1,29,29,13458,1,29,1,29,-,-,-,-,1,29,-,-,1,12,-,-,-,-,1,12,28,13446,-,-,-,-,28,13446
Jangji-dong,Songpa-gu,650,13511,22,1782,628,11729,20,1305,20,1305,-,-,-,-,20,1305,-,-,2,477,1,367,1,110,-,-,628,11729,101,276,188,7446,339,4007
Jamsilbon-dong,Songpa-gu,1599,11761,35,791,1564,10970,35,791,35,791,-,-,-,-,35,791,-,-,1,11,-,-,-,-,1,11,1563,10959,440,1800,647,4967,476,4192
Jamsil 4(sa)-dong,Songpa-gu,11,11587,-,-,11,11587,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,11587,-,-,3,11127,8,460
Jamsil 6(yuk)-dong,Songpa-gu,34,12753,4,494,30,12259,3,139,3,139,-,-,1,30,2,109,-,-,2,624,1,355,-,-,1,269,29,11990,-,-,8,8507,21,3483
Jamsil 7(chil)-dong,Songpa-gu,4,2667,1,108,3,2559,-,-,-,-,-,-,-,-,-,-,-,-,1,108,-,-,1,108,-,-,3,2559,-,-,2,2379,1,180
Jamsil 2(i)-dong,Songpa-gu,15,19456,1,859,14,18597,-,-,-,-,-,-,-,-,-,-,-,-,1,859,-,-,1,859,-,-,14,18597,-,-,2,15182,12,3415
Jamsil 3(sam)-dong,Songpa-gu,16,17132,1,49,15,17083,-,-,-,-,-,-,-,-,-,-,-,-,1,49,-,-,1,49,-,-,15,17083,-,-,4,13202,11,3881
Gangil-dong,Gangdong-gu,97,10546,2,97,95,10449,1,21,1,21,-,-,-,-,1,21,-,-,3,216,-,-,1,76,2,140,93,10309,30,47,13,8747,50,1515
Sangil-dong,Gangdong-gu,500,10579,1,320,499,10259,1,320,1,320,-,-,-,-,1,320,-,-,-,-,-,-,-,-,-,-,499,10259,346,758,66,5483,87,4018
Myeongil 1(il)-dong,Gangdong-gu,464,8940,2,603,462,8337,1,349,1,349,-,-,-,-,1,349,-,-,2,354,-,-,1,254,1,100,461,8237,178,517,97,4950,186,2770
Myeongil 2(i)-dong,Gangdong-gu,306,6122,3,219,303,5903,2,208,2,208,-,-,-,-,2,208,-,-,1,11,1,11,-,-,-,-,303,5903,191,437,21,3240,91,2226
Godeok 1(il)-dong,Gangdong-gu,663,7777,1,439,662,7338,1,439,1,439,-,-,-,-,1,439,-,-,-,-,-,-,-,-,-,-,662,7338,556,1234,48,3149,58,2955
Godeok 2(i)-dong,Gangdong-gu,971,4426,2,701,969,3725,1,675,1,675,-,-,-,-,1,675,-,-,2,106,-,-,1,26,1,80,968,3645,872,1669,31,1152,65,824
Amsa 2(i)-dong,Gangdong-gu,335,5870,1,226,334,5644,1,226,1,226,-,-,-,-,1,226,-,-,1,63,-,-,-,-,1,63,333,5581,151,349,66,4286,116,946
Amsa 3(sam)-dong,Gangdong-gu,261,7905,1,200,260,7705,1,200,1,200,-,-,-,-,1,200,-,-,1,57,-,-,-,-,1,57,259,7648,154,318,49,6697,56,633
Cheonho 1(il)-dong,Gangdong-gu,1315,8178,2,759,1313,7419,1,569,1,569,-,-,-,-,1,569,-,-,3,222,-,-,1,190,2,32,1311,7387,893,1690,252,3610,166,2087
Cheonho 3(sam)-dong,Gangdong-gu,683,6997,3,671,680,6326,1,387,1,387,-,-,-,-,1,387,-,-,4,331,-,-,2,284,2,47,678,6279,414,749,126,3780,138,1750
Seongnae 1(il)-dong,Gangdong-gu,784,9362,2,1023,782,8339,2,1023,2,1023,-,-,-,-,2,1023,-,-,2,36,-,-,-,-,2,36,780,8303,193,618,262,4625,325,3060
Seongnae 2(i)-dong,Gangdong-gu,1106,6767,2,730,1104,6037,1,556,1,556,-,-,-,-,1,556,-,-,3,238,-,-,1,174,2,64,1102,5973,696,1414,174,2649,232,1910
Seongnae 3(sam)-dong,Gangdong-gu,1214,9891,1,818,1213,9073,1,818,1,818,-,-,-,-,1,818,-,-,3,67,-,-,-,-,3,67,1210,9006,564,1613,367,4561,279,2832
Dunchon 1(il)-dong,Gangdong-gu,13,6256,1,-,12,6256,1,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,12,6256,1,2,1,6000,10,254
Dunchon 2(i)-dong,Gangdong-gu,770,10668,1,576,769,10092,1,576,1,576,-,-,-,-,1,576,-,-,1,30,-,-,-,-,1,30,768,10062,346,790,186,5784,236,3488
Amsa 1(il)-dong,Gangdong-gu,1789,10092,2,757,1787,9335,1,645,1,645,-,-,-,-,1,645,-,-,2,212,-,-,1,112,1,100,1786,9235,1141,2046,413,5921,232,1268
Cheonho 2(i)-dong,Gangdong-gu,1799,14387,6,3141,1793,11246,2,1186,2,1186,-,-,-,-,2,1186,-,-,7,2044,1,1430,3,525,3,89,1790,11157,1102,2134,301,4695,387,4328
Gil-dong,Gangdong-gu,1712,18147,1,1105,1711,17042,1,1105,1,1105,-,-,-,-,1,1105,-,-,2,73,-,-,-,-,2,73,1709,16969,810,2185,390,8474,509,6310
