Dong,인구_인구이동_Autonomous Gu_Autonomous Gu_Autonomous Gu,인구_인구이동_Classification_ Total in migrants (⑦=①+③+⑤)_ Total in migrants (⑦=①+③+⑤),인구_인구이동_Classification_ Out-migrants(⑧=②+④+⑥)_ Out-migrants(⑧=②+④+⑥),인구_인구이동_Classification_ Intra-gu migration_ In-migrants(①),인구_인구이동_Classification_ Intra-gu migration_ Out-migrants(②),인구_인구이동_Classification_ Intra-gu migration_ In-migrants(③),인구_인구이동_Classification_ Intra-gu migration_ Out-migrants(④),인구_인구이동_Classification_ Migration between City and province_ In-migrants(⑤),인구_인구이동_Classification_ Migration between City and province_ Out-migrants(⑥)
Sugung-dong,Guro-gu,3512.0,3629.0,795.0,835.0,1139.0,865.0,1578.0,1929.0
Garibong-dong,Guro-gu,1430.0,2248.0,289.0,581.0,591.0,819.0,550.0,848.0
Guro 2(i)-dong,Guro-gu,3868.0,4857.0,1281.0,1427.0,1315.0,1520.0,1272.0,1910.0
Gaebong 1(il)-dong,Guro-gu,3811.0,4527.0,1447.0,1534.0,1092.0,1225.0,1272.0,1768.0
Gasan-dong,Geumcheon-gu,3704.0,3963.0,446.0,707.0,1247.0,1474.0,2011.0,1782.0
Doksan 1(il)-dong,Geumcheon-gu,5680.0,5960.0,970.0,991.0,1644.0,1636.0,3066.0,3333.0
Doksan 2(i)-dong,Geumcheon-gu,3081.0,3437.0,1395.0,1412.0,780.0,835.0,906.0,1190.0
Doksan 3(sam)-dong,Geumcheon-gu,3630.0,4188.0,903.0,1174.0,1653.0,1540.0,1074.0,1474.0
Doksan 4(sa)-dong,Geumcheon-gu,2542.0,3074.0,1232.0,1373.0,635.0,745.0,675.0,956.0
Siheung 1(il)-dong,Geumcheon-gu,5545.0,5581.0,2284.0,1933.0,1355.0,1319.0,1906.0,2329.0
Siheung 2(i)-dong,Geumcheon-gu,2925.0,3204.0,1102.0,863.0,918.0,993.0,905.0,1348.0
Siheung 3(sam)-dong,Geumcheon-gu,1689.0,1585.0,497.0,396.0,417.0,336.0,775.0,853.0
Siheung 4(sa)-dong,Geumcheon-gu,3151.0,3601.0,1530.0,1513.0,773.0,751.0,848.0,1337.0
Siheung 5(o)-dong,Geumcheon-gu,3019.0,3581.0,1526.0,1523.0,602.0,618.0,891.0,1440.0
Yeouido-dong,Yeongdeungpo-gu,3751.0,4017.0,321.0,302.0,2181.0,2129.0,1249.0,1586.0
Dangsan 1(il)-dong,Yeongdeungpo-gu,3489.0,3791.0,1121.0,938.0,1218.0,1487.0,1150.0,1366.0
Dangsan2(i)-dong,Yeongdeungpo-gu,6419.0,5747.0,1171.0,1022.0,2771.0,2522.0,2477.0,2203.0
Yangpyeong 1(il)-dong,Yeongdeungpo-gu,2863.0,3257.0,717.0,691.0,1114.0,1417.0,1032.0,1149.0
Yangpyeong 2(i)-dong,Yeongdeungpo-gu,3104.0,3463.0,528.0,546.0,1399.0,1596.0,1177.0,1321.0
Singil 1(il)-dong,Yeongdeungpo-gu,3118.0,3493.0,820.0,802.0,1119.0,1395.0,1179.0,1296.0
Singil 3(sam)-dong,Yeongdeungpo-gu,1967.0,2390.0,905.0,858.0,529.0,764.0,533.0,768.0
Singil 4(sa)-dong,Yeongdeungpo-gu,1419.0,1777.0,565.0,516.0,476.0,585.0,378.0,676.0
Singil 5(o)-dong,Yeongdeungpo-gu,2149.0,2901.0,939.0,1012.0,656.0,945.0,554.0,944.0
Singil 6(yuk)-dong,Yeongdeungpo-gu,3017.0,3692.0,654.0,694.0,1520.0,1717.0,843.0,1281.0
Singil 7(chil)-dong,Yeongdeungpo-gu,2807.0,3212.0,424.0,582.0,942.0,1142.0,1441.0,1488.0
Daerim 1(il)-dong,Yeongdeungpo-gu,2583.0,2801.0,942.0,736.0,888.0,1074.0,753.0,991.0
Daerim 2(i)-dong,Yeongdeungpo-gu,2097.0,3175.0,380.0,581.0,977.0,1460.0,740.0,1134.0
Daerim 3(sam)-dong,Yeongdeungpo-gu,3846.0,4471.0,1027.0,969.0,1606.0,1882.0,1213.0,1620.0
Yeongdeungpobon-dong,Yeongdeungpo-gu,3411.0,4045.0,1029.0,981.0,1211.0,1536.0,1171.0,1528.0
Yeongdeungpo-dong,Yeongdeungpo-gu,4448.0,4899.0,719.0,1316.0,1692.0,1841.0,2037.0,1742.0
Dorim-dong,Yeongdeungpo-gu,3017.0,3468.0,885.0,811.0,1039.0,1297.0,1093.0,1360.0
Mullae-dong,Yeongdeungpo-gu,4185.0,4526.0,1120.0,910.0,1763.0,1871.0,1302.0,1745.0
Noryangjin 2(i)-dong,Dongjak-gu,2193.0,2915.0,572.0,925.0,665.0,909.0,956.0,1081.0
Sangdo 1(il)-dong,Dongjak-gu,10775.0,7371.0,1851.0,1287.0,5257.0,3251.0,3667.0,2833.0
Sangdo 2(i)-dong,Dongjak-gu,4426.0,4771.0,1534.0,1775.0,1481.0,1585.0,1411.0,1411.0
Sangdo 3(sam)-dong,Dongjak-gu,3950.0,3938.0,1546.0,1327.0,1362.0,1254.0,1042.0,1357.0
Sangdo 4(sa)-dong,Dongjak-gu,4226.0,4551.0,1662.0,1436.0,1499.0,1525.0,1065.0,1590.0
Sadang 1(il)-dong,Dongjak-gu,4795.0,5033.0,772.0,796.0,2320.0,2409.0,1703.0,1828.0
Sadang 3(sam)-dong,Dongjak-gu,4222.0,4297.0,1084.0,1033.0,1955.0,1837.0,1183.0,1427.0
Sadang 4(sa)-dong,Dongjak-gu,2613.0,2981.0,788.0,929.0,1081.0,1051.0,744.0,1001.0
Sadang 5(o)-dong,Dongjak-gu,2358.0,2701.0,616.0,724.0,1075.0,1128.0,667.0,849.0
Daebang-dong,Dongjak-gu,6009.0,6281.0,1232.0,1192.0,2544.0,2712.0,2233.0,2377.0
Sindaebang 1(il)-dong,Dongjak-gu,3551.0,3931.0,349.0,438.0,2064.0,2131.0,1138.0,1362.0
Sindaebang 2(i)-dong,Dongjak-gu,3740.0,3762.0,899.0,935.0,1594.0,1529.0,1247.0,1298.0
Heukseok-dong,Dongjak-gu,6987.0,4940.0,891.0,714.0,3819.0,2241.0,2277.0,1985.0
Noryangjin 1(il)-dong,Dongjak-gu,4970.0,5614.0,1020.0,1289.0,1770.0,1974.0,2180.0,2351.0
Sadang 2(i)-dong,Dongjak-gu,6092.0,4782.0,742.0,758.0,3791.0,2260.0,1559.0,1764.0
Boramae-dong,Gwanak-gu,3954.0,4414.0,1254.0,1236.0,1412.0,1688.0,1288.0,1490.0
