Dong,산업_출판인쇄및기록매체복제업_Gu_Gu,"산업_출판인쇄및기록매체복제업_Publishing of books,brochures, musical booksand other publications_Establish-ments","산업_출판인쇄및기록매체복제업_Publishing of books,brochures, musical booksand other publications_Employees","산업_출판인쇄및기록매체복제업_Publishing of newspapers,journals and periodicals_Establish-ments","산업_출판인쇄및기록매체복제업_Publishing of newspapers,journals and periodicals_Employees",산업_출판인쇄및기록매체복제업_Audio publishing and original master recordings_Establish-ments,산업_출판인쇄및기록매체복제업_Audio publishing and original master recordings_Employees,산업_출판인쇄및기록매체복제업_Otherpublishing_Establish-ments,산업_출판인쇄및기록매체복제업_Otherpublishing_Employees,산업_출판인쇄및기록매체복제업_Printing_Establish-ments,산업_출판인쇄및기록매체복제업_Printing_Employees,산업_출판인쇄및기록매체복제업_Service activities related to printing_Establish-ments,산업_출판인쇄및기록매체복제업_Service activities related to printing_Employees,산업_출판인쇄및기록매체복제업_Reproduction of recorded media_Establish-ments,산업_출판인쇄및기록매체복제업_Reproduction of recorded media_Employees
Eungam 1(il)-dong,Eunpyeong-gu,2,5,1,3,-,-,-,-,-,-,2,4,-,-
Eungam 2(i)-dong,Eunpyeong-gu,1,1,-,-,-,-,-,-,-,-,-,-,-,-
Sinsa 1(il)-dong,Eunpyeong-gu,2,7,-,-,-,-,-,-,-,-,-,-,-,-
Sinsa 2(i)-dong,Eunpyeong-gu,2,5,-,-,-,-,-,-,-,-,-,-,-,-
Jeungsan-dong,Eunpyeong-gu,1,4,-,-,1,5,-,-,2,3,-,-,-,-
Susaek-dong,Eunpyeong-gu,-,-,-,-,-,-,-,-,-,-,1,9,-,-
Bulgwang 2(i)-dong,Eunpyeong-gu,-,-,-,-,-,-,-,-,1,2,-,-,-,-
Eungam 3(sam)-dong,Eunpyeong-gu,1,3,-,-,1,1,-,-,1,2,-,-,-,-
Yeokchon-dong,Eunpyeong-gu,4,5,2,4,-,-,1,9,6,18,-,-,-,-
Cheonyeon-dong,Seodaemun-gu,6,17,-,-,1,2,-,-,2,4,1,2,-,-
Hongje 1(il)-dong,Seodaemun-gu,2,5,1,1,-,-,-,-,2,2,-,-,-,-
Hongje 3(sam)-dong,Seodaemun-gu,-,-,1,1,1,1,1,1,2,8,-,-,-,-
Hongje 2(i)-dong,Seodaemun-gu,2,5,-,-,-,-,-,-,-,-,-,-,-,-
Hongeun 1(il)-dong,Seodaemun-gu,7,14,-,-,-,-,-,-,-,-,-,-,-,-
Hongeun 2(i)-dong,Seodaemun-gu,4,4,1,1,1,2,-,-,2,6,-,-,-,-
Namgajwa 2(i)-dong,Seodaemun-gu,3,5,1,2,1,1,-,-,4,7,4,11,-,-
Bukgajwa 2(i)-dong,Seodaemun-gu,9,29,1,1,1,1,-,-,3,7,2,3,-,-
Chunghyeon-dong,Seodaemun-gu,20,84,20,631,-,-,-,-,11,84,2,5,-,-
