Dong,사업_사업체현황산업대분류별_Autonomous Gu_Autonomous Gu_Autonomous Gu,사업_사업체현황산업대분류별_Total_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Total_No.of establishments_Woman representative,사업_사업체현황산업대분류별_Total_No. of wokers_Total,사업_사업체현황산업대분류별_Total_No. of wokers_Male,사업_사업체현황산업대분류별_Total_No. of wokers_Female,"사업_사업체현황산업대분류별_Agriculture and Forestry, Fishery_No.of establishments_No.of establishments","사업_사업체현황산업대분류별_Agriculture and Forestry, Fishery_No. of wokers_No. of wokers",사업_사업체현황산업대분류별_Mining_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Mining_No. of wokers_No. of wokers,사업_사업체현황산업대분류별_Manufacturing_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Manufacturing_No. of wokers_No. of wokers,사업_사업체현황산업대분류별_Electricity gas steam and watersupply_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Electricity gas steam and watersupply_No. of wokers_No. of wokers,"사업_사업체현황산업대분류별_Sewage·waste treatment, materials recycling and environment remediation_No.of establishments_No.of establishments","사업_사업체현황산업대분류별_Sewage·waste treatment, materials recycling and environment remediation_No. of wokers_No. of wokers",사업_사업체현황산업대분류별_Construction industry_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Construction industry_No. of wokers_No. of wokers,사업_사업체현황산업대분류별_Wholesale and Retail trade_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Wholesale and Retail trade_No. of wokers_No. of wokers,사업_사업체현황산업대분류별_Transport_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Transport_No. of wokers_No. of wokers,사업_사업체현황산업대분류별_Accomodations and Restaurants_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Accomodations and Restaurants_No. of wokers_No. of wokers,"사업_사업체현황산업대분류별_Publishing, video, broadcasting, communications and information services_No.of establishments_No.of establishments","사업_사업체현황산업대분류별_Publishing, video, broadcasting, communications and information services_No. of wokers_No. of wokers",사업_사업체현황산업대분류별_Finance and Insurance_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Finance and Insurance_No. of wokers_No. of wokers,"사업_사업체현황산업대분류별_Real estate, Renting & leasing_No.of establishments_No.of establishments","사업_사업체현황산업대분류별_Real estate, Renting & leasing_No. of wokers_No. of wokers","사업_사업체현황산업대분류별_Professional, scientific and technical services_No.of establishments_No.of establishments","사업_사업체현황산업대분류별_Professional, scientific and technical services_No. of wokers_No. of wokers",사업_사업체현황산업대분류별_Service Maintanance and project supporting service industry_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Service Maintanance and project supporting service industry_No. of wokers_No. of wokers,사업_사업체현황산업대분류별_Public administration and defense; compulsory social security_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Public administration and defense; compulsory social security_No. of wokers_No. of wokers,사업_사업체현황산업대분류별_Education_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Education_No. of wokers_No. of wokers,사업_사업체현황산업대분류별_Health and social welfare service industry_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Health and social welfare service industry_No. of wokers_No. of wokers,사업_사업체현황산업대분류별_Art sports and recreation related service_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Art sports and recreation related service_No. of wokers_No. of wokers,"사업_사업체현황산업대분류별_Other association and community, repair and personal service activities_No.of establishments_No.of establishments","사업_사업체현황산업대분류별_Other association and community, repair and personal service activities_No. of wokers_No. of wokers"
Gocheok 2(i)-dong,Guro-gu,1155.0,515.0,3432.0,1624.0,1808.0,-,-,-,-,118.0,361.0,1,3,-,-,39.0,152.0,336.0,721.0,9.0,30.0,182.0,395.0,5,10,4,36,63.0,204.0,8,89,8,35,3,90,81.0,477.0,62.0,342.0,40.0,121.0,196.0,366.0
Gaebong 2(i)-dong,Guro-gu,1170.0,421.0,2703.0,1317.0,1386.0,-,-,-,-,27.0,57.0,-,-,2,30,27.0,75.0,218.0,509.0,285.0,350.0,171.0,314.0,5,14,11,78,58.0,149.0,8,18,10,54,2,66,76.0,227.0,76.0,439.0,39.0,56.0,155.0,267.0
Gaebong 3(sam)-dong,Guro-gu,1002.0,374.0,3803.0,2174.0,1629.0,-,-,-,-,39.0,99.0,-,-,-,-,33.0,94.0,210.0,563.0,221.0,265.0,151.0,286.0,3,225,4,36,44.0,90.0,8,23,7,1066,1,15,61.0,443.0,37.0,277.0,34.0,76.0,149.0,245.0
Oryu 1(il)-dong,Guro-gu,1080.0,414.0,4353.0,2114.0,2239.0,-,-,-,-,34.0,159.0,-,-,1,1,27.0,85.0,271.0,717.0,151.0,191.0,210.0,598.0,20,101,9,94,56.0,187.0,21,70,20,926,2,74,36.0,268.0,60.0,396.0,44.0,116.0,118.0,370.0
Oryu 2(i)-dong,Guro-gu,1406.0,439.0,6306.0,4013.0,2293.0,-,-,-,-,69.0,335.0,-,-,1,11,36.0,170.0,289.0,901.0,389.0,1151.0,170.0,418.0,6,19,7,60,67.0,194.0,17,69,11,57,4,841,106.0,1102.0,70.0,626.0,31.0,54.0,133.0,298.0
Sugung-dong,Guro-gu,1091.0,316.0,5602.0,3667.0,1935.0,-,-,-,-,122.0,1406.0,-,-,-,-,34.0,272.0,187.0,778.0,293.0,860.0,147.0,347.0,5,41,7,46,40.0,84.0,5,51,5,12,4,184,48.0,871.0,35.0,332.0,32.0,63.0,127.0,255.0
Garibong-dong,Guro-gu,1032.0,455.0,2877.0,1238.0,1639.0,-,-,-,-,56.0,119.0,-,-,-,-,30.0,181.0,278.0,506.0,83.0,100.0,282.0,550.0,8,28,10,48,25.0,32.0,18,36,34,261,-,-,19.0,116.0,22.0,490.0,64.0,115.0,103.0,295.0
Guro 2(i)-dong,Guro-gu,7577.0,1629.0,25793.0,15750.0,10043.0,-,-,-,-,786.0,2162.0,-,-,3,18,182.0,871.0,4603.0,12016.0,334.0,538.0,604.0,1302.0,62,198,47,300,154.0,357.0,186,1148,73,1389,4,1644,51.0,442.0,83.0,2354.0,85.0,184.0,320.0,870.0
Gaebong 1(il)-dong,Guro-gu,1772.0,636.0,5381.0,2719.0,2662.0,-,-,-,-,115.0,485.0,-,-,2,32,54.0,233.0,421.0,1104.0,339.0,485.0,269.0,647.0,7,29,8,84,62.0,164.0,22,87,15,28,2,19,81.0,571.0,69.0,665.0,62.0,124.0,244.0,624.0
Gasan-dong,Geumcheon-gu,11813.0,2346.0,140007.0,91899.0,48108.0,1,3,2,2,2458.0,30969.0,2,9,9,114,351.0,5889.0,3163.0,21694.0,477.0,3180.0,1077.0,4683.0,1853,31125,79,1269,280.0,1290.0,1214,24899,243,10695,5,112,111.0,1230.0,79.0,677.0,124.0,419.0,285.0,1748.0
Doksan 1(il)-dong,Geumcheon-gu,3233.0,934.0,18814.0,11888.0,6926.0,-,-,-,-,824.0,7801.0,-,-,3,61,68.0,698.0,816.0,3238.0,362.0,1884.0,411.0,1172.0,33,279,18,162,115.0,366.0,72,296,30,170,4,67,60.0,608.0,76.0,766.0,80.0,221.0,261.0,1025.0
Doksan 2(i)-dong,Geumcheon-gu,1237.0,428.0,3323.0,1690.0,1633.0,-,-,-,-,124.0,456.0,-,-,-,-,66.0,224.0,252.0,625.0,218.0,384.0,190.0,402.0,-,-,10,64,49.0,67.0,11,38,6,11,2,41,42.0,319.0,61.0,359.0,31.0,66.0,175.0,267.0
Doksan 3(sam)-dong,Geumcheon-gu,2226.0,806.0,8511.0,4517.0,3994.0,-,-,-,-,345.0,1599.0,-,-,1,12,71.0,137.0,533.0,1267.0,240.0,420.0,366.0,715.0,6,11,17,215,82.0,164.0,82,377,28,1552,6,150,56.0,573.0,64.0,723.0,59.0,108.0,270.0,488.0
Doksan 4(sa)-dong,Geumcheon-gu,1060.0,429.0,3096.0,1531.0,1565.0,-,-,-,-,134.0,683.0,-,-,1,2,32.0,49.0,198.0,425.0,156.0,169.0,226.0,520.0,2,331,6,49,38.0,49.0,8,20,13,21,3,122,31.0,132.0,36.0,220.0,54.0,110.0,122.0,194.0
Siheung 1(il)-dong,Geumcheon-gu,3018.0,1188.0,13368.0,6624.0,6744.0,-,-,-,-,272.0,1408.0,-,-,3,23,92.0,691.0,770.0,1928.0,310.0,621.0,633.0,1797.0,10,32,15,169,105.0,217.0,45,181,33,1851,7,1177,114.0,777.0,133.0,1328.0,103.0,216.0,373.0,952.0
Siheung 2(i)-dong,Geumcheon-gu,551.0,169.0,1787.0,743.0,1044.0,-,-,-,-,7.0,15.0,-,-,-,-,6.0,24.0,65.0,160.0,232.0,242.0,39.0,103.0,1,1,2,30,26.0,122.0,1,3,1,3,1,34,60.0,577.0,42.0,302.0,7.0,54.0,61.0,117.0
Siheung 3(sam)-dong,Geumcheon-gu,3182.0,513.0,9142.0,6649.0,2493.0,-,-,-,-,485.0,1056.0,1,3,6,41,252.0,939.0,1704.0,4138.0,217.0,616.0,128.0,273.0,22,98,16,91,42.0,105.0,71,264,45,692,1,16,26.0,457.0,15.0,84.0,24.0,36.0,127.0,233.0
Siheung 4(sa)-dong,Geumcheon-gu,882.0,312.0,1956.0,939.0,1017.0,-,-,-,-,55.0,184.0,-,-,1,9,26.0,66.0,141.0,297.0,271.0,288.0,95.0,177.0,6,11,3,18,36.0,53.0,2,2,-,-,2,74,46.0,276.0,37.0,234.0,20.0,37.0,141.0,230.0
Siheung 5(o)-dong,Geumcheon-gu,1204.0,485.0,3451.0,1745.0,1706.0,-,-,-,-,70.0,240.0,-,-,-,-,36.0,114.0,252.0,541.0,232.0,774.0,182.0,410.0,3,7,5,39,46.0,104.0,8,29,4,4,1,27,60.0,227.0,72.0,503.0,51.0,109.0,182.0,323.0
Yeouido-dong,Yeongdeungpo-gu,7564.0,2137.0,150020.0,93140.0,56880.0,-,-,-,-,100.0,476.0,3,625,4,92,159.0,3509.0,1734.0,12393.0,140.0,2331.0,1622.0,8956.0,775,23857,478,39115,379.0,3987.0,841,18568,291,19827,19,4414,181.0,1539.0,168.0,3131.0,117.0,1263.0,553.0,5937.0
Dangsan 1(il)-dong,Yeongdeungpo-gu,3092.0,881.0,16953.0,9502.0,7451.0,-,-,-,-,249.0,715.0,-,-,1,2,94.0,1008.0,1023.0,3234.0,153.0,525.0,561.0,1289.0,78,315,78,1956,122.0,390.0,222,1386,53,1846,5,2580,42.0,143.0,61.0,655.0,85.0,185.0,265.0,724.0
Dangsan2(i)-dong,Yeongdeungpo-gu,2164.0,732.0,16477.0,8491.0,7986.0,-,-,-,-,86.0,464.0,-,-,2,54,95.0,841.0,501.0,1956.0,141.0,677.0,362.0,1261.0,76,589,70,2895,156.0,679.0,121,1211,64,3318,4,96,137.0,1097.0,100.0,558.0,71.0,220.0,178.0,561.0
Yangpyeong 1(il)-dong,Yeongdeungpo-gu,3186.0,486.0,19922.0,12808.0,7114.0,-,-,-,-,413.0,1644.0,-,-,2,19,79.0,1869.0,610.0,3496.0,1192.0,2114.0,257.0,581.0,85,1078,23,496,91.0,551.0,133,2358,44,3872,3,276,49.0,423.0,31.0,349.0,27.0,68.0,147.0,728.0
Yangpyeong 2(i)-dong,Yeongdeungpo-gu,2074.0,570.0,18234.0,11812.0,6422.0,-,-,-,-,213.0,2130.0,1,119,1,6,94.0,1305.0,484.0,3174.0,187.0,1323.0,309.0,957.0,158,1636,22,158,114.0,518.0,157,2150,49,2442,3,317,71.0,704.0,40.0,449.0,44.0,139.0,127.0,707.0
Singil 1(il)-dong,Yeongdeungpo-gu,1177.0,470.0,4035.0,1982.0,2053.0,-,-,-,-,50.0,106.0,-,-,-,-,29.0,94.0,325.0,749.0,122.0,143.0,236.0,546.0,15,74,8,80,56.0,212.0,19,333,15,115,2,53,44.0,238.0,49.0,856.0,57.0,123.0,150.0,313.0
Singil 3(sam)-dong,Yeongdeungpo-gu,1007.0,392.0,3056.0,1737.0,1319.0,-,-,-,-,51.0,131.0,-,-,-,-,28.0,73.0,324.0,722.0,146.0,155.0,145.0,314.0,5,73,11,161,40.0,91.0,7,51,6,457,1,15,44.0,175.0,40.0,236.0,31.0,61.0,128.0,341.0
Singil 4(sa)-dong,Yeongdeungpo-gu,595.0,209.0,1567.0,766.0,801.0,-,-,-,-,29.0,105.0,-,-,-,-,23.0,45.0,131.0,420.0,90.0,98.0,98.0,164.0,7,30,5,46,29.0,55.0,4,15,5,6,1,18,31.0,142.0,27.0,171.0,18.0,20.0,97.0,232.0
Singil 5(o)-dong,Yeongdeungpo-gu,689.0,213.0,2079.0,1243.0,836.0,-,-,-,-,30.0,79.0,-,-,-,-,45.0,87.0,180.0,368.0,126.0,311.0,113.0,214.0,3,13,1,4,20.0,41.0,6,8,11,208,1,19,25.0,322.0,17.0,89.0,23.0,162.0,88.0,154.0
Singil 6(yuk)-dong,Yeongdeungpo-gu,1232.0,443.0,3974.0,1919.0,2055.0,-,-,-,-,56.0,163.0,-,-,-,-,44.0,156.0,272.0,607.0,173.0,180.0,192.0,477.0,9,65,6,42,82.0,206.0,48,321,13,409,3,223,70.0,420.0,59.0,363.0,46.0,86.0,159.0,256.0
Singil 7(chil)-dong,Yeongdeungpo-gu,591.0,200.0,3030.0,1516.0,1514.0,-,-,-,-,24.0,66.0,-,-,-,-,17.0,93.0,137.0,376.0,69.0,86.0,103.0,280.0,15,103,3,23,24.0,116.0,14,183,12,717,3,273,33.0,170.0,32.0,165.0,21.0,41.0,84.0,338.0
Daerim 1(il)-dong,Yeongdeungpo-gu,1129.0,479.0,4079.0,1757.0,2322.0,-,-,-,-,91.0,258.0,-,-,-,-,58.0,137.0,307.0,674.0,93.0,103.0,210.0,454.0,12,33,8,48,49.0,97.0,22,67,13,27,1,14,31.0,185.0,52.0,1599.0,39.0,76.0,143.0,307.0
Daerim 2(i)-dong,Yeongdeungpo-gu,1408.0,590.0,4437.0,2365.0,2072.0,-,-,-,-,72.0,164.0,-,-,2,3,37.0,112.0,359.0,1160.0,104.0,188.0,355.0,793.0,6,17,30,232,58.0,110.0,36,82,53,437,2,48,39.0,247.0,36.0,506.0,58.0,107.0,161.0,231.0
Daerim 3(sam)-dong,Yeongdeungpo-gu,2907.0,739.0,10781.0,6212.0,4569.0,-,-,-,-,224.0,1120.0,-,-,2,7,148.0,817.0,615.0,2423.0,824.0,937.0,331.0,788.0,24,157,20,165,86.0,286.0,67,308,73,1547,2,47,93.0,586.0,61.0,666.0,97.0,185.0,240.0,742.0
Yeongdeungpobon-dong,Yeongdeungpo-gu,1240.0,494.0,4537.0,2151.0,2386.0,-,-,-,-,36.0,139.0,-,-,1,17,28.0,106.0,379.0,1221.0,165.0,313.0,243.0,885.0,11,143,9,76,51.0,130.0,15,40,23,165,4,97,48.0,529.0,43.0,280.0,51.0,107.0,133.0,289.0
Yeongdeungpo-dong,Yeongdeungpo-gu,6076.0,1898.0,34547.0,18701.0,15846.0,-,-,1,3,531.0,1392.0,1,52,2,17,178.0,2061.0,2499.0,7318.0,132.0,531.0,1118.0,4342.0,147,2977,106,2661,224.0,767.0,134,1066,134,6249,4,362,106.0,713.0,134.0,1868.0,165.0,773.0,460.0,1395.0
Dorim-dong,Yeongdeungpo-gu,1025.0,355.0,3138.0,1935.0,1203.0,-,-,-,-,77.0,262.0,-,-,-,-,42.0,329.0,263.0,738.0,133.0,322.0,138.0,333.0,34,109,13,114,58.0,120.0,22,46,11,30,1,14,44.0,138.0,27.0,131.0,36.0,92.0,126.0,360.0
Mullae-dong,Yeongdeungpo-gu,4995.0,993.0,36161.0,22972.0,13189.0,-,-,-,-,1918.0,5636.0,3,22,4,282,89.0,1492.0,1283.0,9733.0,215.0,1186.0,448.0,1486.0,181,3760,66,1737,138.0,583.0,148,2083,76,5651,5,315,95.0,736.0,78.0,527.0,68.0,272.0,180.0,660.0
Noryangjin 2(i)-dong,Dongjak-gu,1035.0,428.0,5138.0,2476.0,2662.0,-,-,-,-,42.0,115.0,-,-,1,20,20.0,25.0,257.0,730.0,83.0,96.0,277.0,674.0,10,245,15,333,54.0,117.0,18,42,16,336,3,1206,33.0,495.0,23.0,228.0,50.0,118.0,133.0,358.0
Sangdo 1(il)-dong,Dongjak-gu,1724.0,676.0,6250.0,3245.0,3005.0,-,-,-,-,57.0,219.0,-,-,1,15,48.0,295.0,342.0,1063.0,209.0,281.0,400.0,1048.0,35,150,9,88,96.0,208.0,34,121,20,78,3,55,134.0,1464.0,74.0,543.0,67.0,145.0,195.0,477.0
Sangdo 2(i)-dong,Dongjak-gu,1261.0,541.0,4090.0,1888.0,2202.0,-,-,-,-,45.0,150.0,1,62,1,30,31.0,126.0,317.0,855.0,125.0,154.0,226.0,546.0,8,48,9,102,91.0,197.0,24,114,15,82,3,173,82.0,524.0,76.0,526.0,50.0,98.0,157.0,303.0
Sangdo 3(sam)-dong,Dongjak-gu,989.0,393.0,2720.0,1260.0,1460.0,-,-,-,-,47.0,151.0,-,-,-,-,29.0,95.0,251.0,705.0,183.0,219.0,133.0,356.0,1,1,8,64,47.0,91.0,5,18,7,23,3,72,39.0,218.0,53.0,357.0,38.0,94.0,145.0,256.0
Sangdo 4(sa)-dong,Dongjak-gu,1006.0,366.0,2879.0,1324.0,1555.0,-,-,-,-,34.0,144.0,-,-,1,6,28.0,64.0,205.0,504.0,249.0,307.0,131.0,295.0,8,23,2,20,45.0,112.0,14,28,9,26,1,21,63.0,380.0,54.0,630.0,25.0,58.0,137.0,261.0
Sadang 1(il)-dong,Dongjak-gu,1744.0,628.0,8660.0,4398.0,4262.0,-,-,-,-,51.0,117.0,1,97,-,-,64.0,311.0,349.0,1356.0,140.0,191.0,382.0,1120.0,30,224,74,2093,120.0,330.0,53,560,30,580,2,63,93.0,350.0,79.0,604.0,69.0,149.0,207.0,515.0
Sadang 3(sam)-dong,Dongjak-gu,1037.0,348.0,4303.0,2195.0,2108.0,-,-,-,-,37.0,103.0,-,-,1,16,35.0,102.0,231.0,536.0,156.0,226.0,133.0,372.0,16,47,6,46,65.0,165.0,23,155,11,1113,2,59,78.0,742.0,38.0,247.0,26.0,45.0,179.0,329.0
Sadang 4(sa)-dong,Dongjak-gu,663.0,259.0,1638.0,807.0,831.0,-,-,-,-,34.0,109.0,-,-,-,-,25.0,85.0,184.0,388.0,103.0,113.0,85.0,226.0,2,4,3,32,30.0,86.0,5,6,2,5,1,13,23.0,93.0,42.0,254.0,19.0,47.0,105.0,177.0
Sadang 5(o)-dong,Dongjak-gu,517.0,161.0,1692.0,905.0,787.0,-,-,-,-,22.0,61.0,-,-,2,25,31.0,132.0,99.0,226.0,102.0,119.0,52.0,152.0,8,23,1,4,29.0,77.0,8,79,7,83,1,14,41.0,367.0,19.0,81.0,7.0,98.0,88.0,151.0
Daebang-dong,Dongjak-gu,1689.0,608.0,12717.0,7734.0,4983.0,-,-,-,-,51.0,265.0,-,-,1,1,69.0,1980.0,372.0,1567.0,189.0,387.0,253.0,961.0,30,440,14,206,99.0,413.0,57,1418,33,1444,3,218,170.0,1762.0,87.0,626.0,57.0,222.0,204.0,807.0
Sindaebang 1(il)-dong,Dongjak-gu,1050.0,422.0,4496.0,2480.0,2016.0,-,-,1,527,55.0,197.0,-,-,2,19,39.0,228.0,261.0,796.0,102.0,135.0,168.0,424.0,15,92,24,250,64.0,223.0,22,73,18,522,1,16,68.0,397.0,56.0,313.0,26.0,62.0,128.0,222.0
Sindaebang 2(i)-dong,Dongjak-gu,1254.0,495.0,27372.0,15489.0,11883.0,-,-,-,-,59.0,306.0,1,180,3,51,39.0,332.0,220.0,2461.0,99.0,760.0,288.0,991.0,28,2175,21,595,72.0,1729.0,55,3993,35,9240,5,742,52.0,400.0,52.0,2347.0,50.0,565.0,175.0,505.0
Heukseok-dong,Dongjak-gu,1622.0,698.0,9671.0,4838.0,4833.0,-,-,-,-,39.0,132.0,1,2,2,40,37.0,176.0,360.0,825.0,166.0,271.0,403.0,1323.0,20,115,11,90,94.0,251.0,26,84,25,252,1,20,92.0,3245.0,66.0,2099.0,60.0,191.0,219.0,555.0
Noryangjin 1(il)-dong,Dongjak-gu,2893.0,1104.0,11058.0,5830.0,5228.0,-,-,-,-,33.0,83.0,1,11,1,26,31.0,161.0,1325.0,3490.0,166.0,215.0,645.0,2035.0,18,982,14,103,121.0,372.0,14,53,21,421,6,462,130.0,1524.0,63.0,348.0,149.0,430.0,155.0,342.0
Sadang 2(i)-dong,Dongjak-gu,1551.0,637.0,5323.0,2578.0,2745.0,-,-,-,-,39.0,227.0,1,3,-,-,31.0,85.0,363.0,1260.0,131.0,181.0,369.0,1321.0,16,63,8,68,89.0,240.0,28,159,12,30,1,23,83.0,482.0,81.0,425.0,71.0,165.0,228.0,591.0
Boramae-dong,Gwanak-gu,1316.0,537.0,4966.0,2387.0,2579.0,-,-,-,-,63.0,179.0,-,-,-,-,40.0,443.0,379.0,951.0,183.0,230.0,246.0,641.0,16,312,18,98,52.0,88.0,15,533,8,81,1,15,58.0,565.0,50.0,485.0,27.0,66.0,160.0,279.0
Cheongnim-dong,Gwanak-gu,430.0,180.0,1059.0,488.0,571.0,-,-,-,-,14.0,26.0,-,-,-,-,9.0,15.0,83.0,148.0,82.0,84.0,54.0,122.0,2,2,2,21,28.0,112.0,4,6,-,-,1,13,46.0,118.0,27.0,203.0,13.0,49.0,65.0,140.0
Haengun-dong,Gwanak-gu,1397.0,555.0,5161.0,2451.0,2710.0,-,-,-,-,45.0,465.0,-,-,-,-,45.0,247.0,339.0,1031.0,146.0,176.0,274.0,730.0,16,182,12,158,72.0,152.0,37,134,14,73,3,38,83.0,594.0,68.0,576.0,47.0,116.0,196.0,489.0
Nagseongdae-dong,Gwanak-gu,1277.0,481.0,7971.0,4006.0,3965.0,-,-,-,-,53.0,274.0,-,-,-,-,40.0,462.0,234.0,1072.0,78.0,612.0,383.0,1415.0,28,390,14,206,57.0,242.0,51,512,25,1179,2,101,46.0,327.0,57.0,511.0,63.0,287.0,146.0,381.0
Jungang-dong,Gwanak-gu,1469.0,382.0,4681.0,2240.0,2441.0,-,-,-,-,64.0,156.0,-,-,-,-,47.0,233.0,220.0,655.0,532.0,533.0,196.0,497.0,11,51,15,217,67.0,174.0,34,138,8,660,1,13,49.0,484.0,60.0,425.0,25.0,72.0,140.0,373.0
Inheon-dong,Gwanak-gu,1123.0,441.0,4406.0,2145.0,2261.0,-,-,-,-,51.0,382.0,-,-,-,-,24.0,226.0,257.0,604.0,161.0,167.0,187.0,432.0,15,394,9,128,64.0,158.0,27,212,10,607,2,16,60.0,315.0,63.0,398.0,46.0,80.0,147.0,287.0
Namhyeon-dong,Gwanak-gu,842.0,337.0,5952.0,3217.0,2735.0,-,-,-,-,14.0,89.0,-,-,-,-,24.0,545.0,163.0,888.0,88.0,99.0,228.0,1165.0,15,114,14,359,32.0,51.0,32,902,10,772,3,77,45.0,258.0,39.0,221.0,31.0,89.0,104.0,323.0
Sewon-dong,Gwanak-gu,1298.0,489.0,6702.0,3076.0,3626.0,-,-,-,-,24.0,108.0,-,-,-,-,28.0,99.0,272.0,1016.0,118.0,144.0,426.0,1961.0,15,95,20,344,56.0,266.0,23,64,10,849,3,66,47.0,239.0,50.0,767.0,77.0,245.0,129.0,439.0
Sinwon-dong,Gwanak-gu,877.0,363.0,2256.0,1036.0,1220.0,-,-,-,-,54.0,125.0,-,-,-,-,22.0,88.0,245.0,430.0,98.0,99.0,154.0,322.0,3,20,2,19,36.0,55.0,21,74,6,93,2,123,42.0,225.0,38.0,220.0,22.0,38.0,132.0,325.0
Serim-dong,Gwanak-gu,857.0,295.0,2755.0,1602.0,1153.0,-,-,-,-,32.0,91.0,-,-,-,-,25.0,82.0,179.0,487.0,159.0,530.0,159.0,396.0,15,52,1,12,37.0,91.0,4,15,19,41,2,68,47.0,321.0,31.0,184.0,43.0,120.0,104.0,265.0
Sinsa-dong,Gwanak-gu,1451.0,525.0,4365.0,2238.0,2127.0,-,-,-,-,136.0,506.0,-,-,-,-,65.0,294.0,379.0,874.0,159.0,226.0,221.0,571.0,10,51,6,112,65.0,268.0,32,96,19,187,2,46,57.0,355.0,45.0,320.0,46.0,124.0,209.0,335.0
Sillim-dong,Gwanak-gu,1744.0,755.0,5632.0,2952.0,2680.0,-,-,-,-,40.0,110.0,-,-,-,-,30.0,406.0,392.0,1074.0,60.0,78.0,612.0,1839.0,16,265,12,78,123.0,257.0,26,79,19,211,2,52,37.0,97.0,56.0,322.0,123.0,281.0,196.0,483.0
Nanhyang-dong,Gwanak-gu,392.0,133.0,1685.0,858.0,827.0,-,-,-,-,19.0,317.0,-,-,-,-,6.0,14.0,58.0,240.0,123.0,256.0,40.0,99.0,-,-,4,30,18.0,59.0,2,2,4,31,2,47,29.0,284.0,29.0,181.0,11.0,25.0,47.0,100.0
Jowon-dong,Gwanak-gu,2172.0,724.0,7225.0,3902.0,3323.0,-,-,-,-,239.0,947.0,-,-,4,43,73.0,363.0,446.0,1388.0,409.0,484.0,370.0,1221.0,36,333,16,171,84.0,185.0,60,295,31,124,2,302,51.0,245.0,52.0,420.0,83.0,228.0,216.0,476.0
Daehak-dong,Gwanak-gu,1562.0,596.0,11988.0,6658.0,5330.0,-,-,-,-,17.0,77.0,-,-,-,-,7.0,16.0,198.0,575.0,113.0,505.0,622.0,1962.0,22,167,8,105,88.0,195.0,73,959,30,234,3,38,62.0,5830.0,35.0,221.0,164.0,782.0,120.0,322.0
Euncheon-dong,Gwanak-gu,1673.0,589.0,7535.0,4074.0,3461.0,-,-,-,-,122.0,497.0,-,-,1,13,61.0,1195.0,353.0,1103.0,277.0,648.0,261.0,592.0,15,116,11,157,67.0,144.0,31,169,19,319,4,149,84.0,461.0,75.0,1199.0,49.0,98.0,243.0,675.0
Seonghyeon-dong,Gwanak-gu,834.0,287.0,2449.0,1121.0,1328.0,-,-,-,-,33.0,101.0,-,-,-,-,24.0,61.0,119.0,238.0,217.0,224.0,76.0,179.0,4,16,3,18,48.0,151.0,14,156,2,10,1,17,97.0,698.0,51.0,315.0,18.0,56.0,127.0,209.0
Cheongnyong-dong,Gwanak-gu,1946.0,770.0,12463.0,6431.0,6032.0,-,-,-,-,59.0,182.0,-,-,3,47,69.0,2471.0,491.0,1305.0,131.0,149.0,425.0,1417.0,27,183,18,125,124.0,309.0,63,188,31,156,8,3324,82.0,923.0,76.0,777.0,74.0,164.0,265.0,743.0
Nangok-dong,Gwanak-gu,935.0,295.0,1988.0,1013.0,975.0,-,-,-,-,36.0,78.0,-,-,-,-,29.0,40.0,200.0,332.0,254.0,256.0,113.0,231.0,1,5,4,33,29.0,51.0,3,5,1,4,1,19,48.0,401.0,52.0,289.0,26.0,45.0,138.0,199.0
Samseong-dong,Gwanak-gu,1139.0,422.0,2615.0,1336.0,1279.0,-,-,-,-,52.0,127.0,-,-,-,-,30.0,103.0,288.0,533.0,307.0,334.0,142.0,237.0,5,27,4,28,48.0,132.0,7,16,5,19,1,16,58.0,538.0,37.0,221.0,14.0,25.0,141.0,259.0
Miseong-dong,Gwanak-gu,1575.0,549.0,5201.0,2791.0,2410.0,-,-,-,-,129.0,657.0,-,-,1,11,57.0,222.0,355.0,859.0,337.0,586.0,191.0,445.0,8,20,7,82,59.0,172.0,24,102,10,249,4,78,89.0,689.0,71.0,512.0,46.0,117.0,187.0,400.0
Seocho 1(il)-dong,Seocho-gu,3047.0,770.0,26660.0,16637.0,10023.0,-,-,-,-,74.0,377.0,-,-,-,-,121.0,2773.0,929.0,5306.0,67.0,403.0,467.0,1877.0,158,2201,68,751,150.0,652.0,419,5910,89,1595,3,72,107.0,2355.0,102.0,1088.0,73.0,235.0,220.0,1065.0
