Dong,사업_생계형사업분포현황사업체수기준_Period,사업_생계형사업분포현황사업체수기준_Gu,사업_생계형사업분포현황사업체수기준_한식음식점업,사업_생계형사업분포현황사업체수기준_용달 및 개별화물 자동차운송업,사업_생계형사업분포현황사업체수기준_부동산자문 및 중개업,사업_생계형사업분포현황사업체수기준_의류점,사업_생계형사업분포현황사업체수기준_기타주점업,사업_생계형사업분포현황사업체수기준_두발미용업,사업_생계형사업분포현황사업체수기준_슈퍼마켓,사업_생계형사업분포현황사업체수기준_분식 및 김밥전문점,사업_생계형사업분포현황사업체수기준_비알콜 음료점,사업_생계형사업분포현황사업체수기준_가정용 세탁업,사업_생계형사업분포현황사업체수기준_노래연습장 운영업,사업_생계형사업분포현황사업체수기준_체인화 편의점,사업_생계형사업분포현황사업체수기준_치킨 전문점,사업_생계형사업분포현황사업체수기준_자동차 전문 수리업,사업_생계형사업분포현황사업체수기준_과실 및 채소소매업,사업_생계형사업분포현황사업체수기준_육류 소매업,사업_생계형사업분포현황사업체수기준_중국 음식점업,사업_생계형사업분포현황사업체수기준_당구장 운영업,사업_생계형사업분포현황사업체수기준_제과점업,사업_생계형사업분포현황사업체수기준_컴퓨터게임방 운영업
Irwonbon-dong,2013.0,Gangnam-gu,15,44,30.0,6,3,18,13.0,15,11,13,-,5,3,X,3,4,X,-,3,X
Irwon 1(il)-dong,2013.0,Gangnam-gu,89,29,20.0,22,30,22,17.0,14,13,9,19,7,13,12,5,6,5,8,4,11
Irwon 2(i)-dong,2013.0,Gangnam-gu,27,24,23.0,10,4,12,6.0,10,7,9,-,5,3,-,-,4,3,-,5,X
Suseo-dong,2013.0,Gangnam-gu,81,36,28.0,8,14,20,11.0,14,18,12,3,7,11,X,-,3,7,3,6,X
Segok-dong,2013.0,Gangnam-gu,28,69,18.0,X,X,6,12.0,X,X,4,X,6,4,7,-,3,X,X,X,-
Apgujeong -dong,2013.0,Gangnam-gu,206,5,76.0,297,74,114,30.0,60,93,21,13,37,14,6,5,6,17,10,36,5
Cheongdam -dong,2013.0,Gangnam-gu,186,20,100.0,148,50,103,22.0,35,76,27,10,45,10,10,4,4,14,6,15,6
Daechi 2(i)-dong,2013.0,Gangnam-gu,205,30,126.0,133,46,57,42.0,50,79,23,13,30,21,16,19,12,21,12,17,5
Gaepo 2(i)-dong,2013.0,Gangnam-gu,52,49,66.0,18,20,34,21.0,22,12,20,7,7,15,5,4,4,3,5,6,-
Pungnap 1(il)-dong,2013.0,Songpa-gu,69,71,29.0,17,23,31,16.0,16,8,15,12,4,6,5,12,9,4,3,3,7
Pungnap 2(i)-dong,2013.0,Songpa-gu,65,66,44.0,23,21,30,19.0,13,15,18,12,11,14,6,5,9,6,4,5,3
Geoyeo 1(il)-dong,2013.0,Songpa-gu,48,67,21.0,13,23,27,16.0,7,9,13,11,7,8,7,3,4,4,4,3,6
Geoyeo 2(i)-dong,2013.0,Songpa-gu,72,108,47.0,21,35,45,20.0,20,17,17,20,9,10,9,X,10,X,6,6,5
Macheon 1(il)-dong,2013.0,Songpa-gu,54,118,42.0,21,34,36,25.0,15,10,16,9,5,4,4,3,7,4,4,3,4
Macheon 2(i)-dong,2013.0,Songpa-gu,101,134,34.0,69,29,37,29.0,15,10,11,13,5,8,15,14,16,9,7,8,7
Bangi 1(il)-dong,2013.0,Songpa-gu,108,39,40.0,23,41,40,7.0,15,30,16,19,14,5,14,X,3,9,7,6,3
Bangi 2(i)-dong,2013.0,Songpa-gu,268,54,91.0,37,118,38,23.0,25,34,25,58,26,19,16,6,12,10,18,10,13
Oryun-dong,2013.0,Songpa-gu,11,5,21.0,72,X,12,10.0,10,11,5,-,6,X,X,X,X,4,-,3,X
Ogeum-dong,2013.0,Songpa-gu,120,134,61.0,26,47,51,31.0,24,46,35,17,17,14,40,-,18,8,9,10,5
Songpa 1(il)-dong,2013.0,Songpa-gu,131,403,75.0,25,62,56,18.0,22,34,28,36,16,10,11,3,9,9,11,10,5
Songpa 2(i)-dong,2013.0,Songpa-gu,32,47,40.0,27,9,29,16.0,25,24,9,X,9,8,3,4,6,X,-,9,5
Seokchon-dong,2013.0,Songpa-gu,210,97,95.0,63,101,65,41.0,35,40,34,63,29,27,22,22,11,10,16,5,11
Samjeon-dong,2013.0,Songpa-gu,114,101,83.0,28,57,71,22.0,34,26,32,23,19,22,29,3,12,9,10,11,17
Garakbon-dong,2013.0,Songpa-gu,252,84,76.0,59,92,57,24.0,35,49,24,91,28,24,19,3,6,12,17,14,10
Garak 1(il)-dong,2013.0,Songpa-gu,58,6,36.0,X,X,X,30.0,3,X,X,-,X,-,3,X,-,X,-,-,-
Garak 2(i)-dong,2013.0,Songpa-gu,98,83,64.0,48,40,64,28.0,21,30,23,25,9,10,21,4,11,8,10,11,11
Munjeong 1(il)-dong,2013.0,Songpa-gu,67,69,70.0,100,18,44,15.0,18,19,17,16,11,16,14,3,8,7,5,10,5
Munjeong 2(i)-dong,2013.0,Songpa-gu,63,12,97.0,162,12,24,17.0,19,38,15,X,12,3,5,3,4,7,3,10,X
Jangji-dong,2013.0,Songpa-gu,74,152,52.0,6,23,44,22.0,20,18,20,16,12,17,16,4,6,5,5,5,5
Jamsilbon-dong,2013.0,Songpa-gu,322,47,106.0,59,162,85,27.0,50,59,34,79,35,30,17,24,15,12,19,17,18
Jamsil 4(sa)-dong,2013.0,Songpa-gu,14,28,50.0,8,4,22,8.0,10,4,12,-,3,8,-,3,6,X,X,5,X
Jamsil 6(yuk)-dong,2013.0,Songpa-gu,111,435,49.0,71,7,22,12.0,27,42,12,X,11,8,X,4,5,10,3,11,X
Jamsil 7(chil)-dong,2013.0,Songpa-gu,-,X,16.0,16,-,8,7.0,6,X,5,-,3,X,-,4,4,X,-,3,-
Jamsil 2(i)-dong,2013.0,Songpa-gu,19,20,64.0,66,X,27,11.0,15,21,12,-,10,5,-,5,4,-,-,14,-
Jamsil 3(sam)-dong,2013.0,Songpa-gu,29,16,89.0,244,7,25,17.0,29,27,17,-,7,X,X,7,4,8,-,24,-
Gangil-dong,2013.0,Gangdong-gu,19,114,17.0,X,5,16,14.0,10,10,11,X,10,8,5,X,5,3,X,7,-
Sangil-dong,2013.0,Gangdong-gu,76,164,52.0,6,39,24,29.0,19,16,15,9,7,7,7,7,6,4,4,5,3
Myeongil 1(il)-dong,2013.0,Gangdong-gu,121,89,54.0,86,46,59,22.0,38,36,15,19,14,13,10,25,14,5,10,11,8
Myeongil 2(i)-dong,2013.0,Gangdong-gu,64,22,34.0,114,29,36,13.0,30,19,14,7,9,6,5,3,5,4,5,13,8
Godeok 1(il)-dong,2013.0,Gangdong-gu,36,84,28.0,X,13,17,12.0,8,3,8,4,3,6,5,4,5,3,-,X,X
Godeok 2(i)-dong,2013.0,Gangdong-gu,36,119,38.0,13,20,22,22.0,13,4,8,5,3,7,13,12,8,5,3,X,5
Amsa 2(i)-dong,2013.0,Gangdong-gu,53,74,41.0,16,16,24,16.0,9,14,9,8,7,5,6,4,4,3,3,5,5
Amsa 3(sam)-dong,2013.0,Gangdong-gu,19,60,27.0,15,3,14,12.0,7,X,8,X,X,4,5,6,6,-,-,5,-
Cheonho 1(il)-dong,2013.0,Gangdong-gu,77,135,50.0,59,39,56,35.0,20,21,24,8,12,11,12,5,11,9,4,10,4
Cheonho 3(sam)-dong,2013.0,Gangdong-gu,120,114,64.0,140,61,53,36.0,24,16,28,17,17,12,8,8,7,7,9,4,10
Seongnae 1(il)-dong,2013.0,Gangdong-gu,141,77,41.0,16,42,24,19.0,28,38,19,12,13,9,25,3,4,7,11,5,3
Seongnae 2(i)-dong,2013.0,Gangdong-gu,138,102,88.0,30,72,70,28.0,31,29,20,27,20,16,16,14,14,10,10,11,11
Seongnae 3(sam)-dong,2013.0,Gangdong-gu,195,81,71.0,64,104,69,20.0,40,40,23,35,24,23,23,20,17,14,16,13,15
Dunchon 1(il)-dong,2013.0,Gangdong-gu,X,30,42.0,47,X,12,10.0,5,6,9,-,X,-,-,X,X,-,-,X,-
Dunchon 2(i)-dong,2013.0,Gangdong-gu,108,127,61.0,22,45,55,23.0,21,27,22,17,7,13,15,7,8,12,5,5,5
Amsa 1(il)-dong,2013.0,Gangdong-gu,126,173,63.0,60,67,80,46.0,27,23,35,29,10,12,15,27,20,9,13,8,12
Cheonho 2(i)-dong,2013.0,Gangdong-gu,293,173,91.0,286,143,81,63.0,38,46,33,41,26,14,28,29,26,19,11,15,11
Gil-dong,2013.0,Gangdong-gu,292,251,129.0,70,163,110,37.0,54,48,44,45,38,23,29,33,29,16,17,16,24
