Dong,사업_사업체평균연령_Period,사업_사업체평균연령_Gu,사업_사업체평균연령_No. of establishments,사업_사업체평균연령_No. of workers,사업_사업체평균연령_Average worker,사업_사업체평균연령_Rate of establishing a business
Jangwi 3(sam)-dong,2013.0,Seongbuk_gu,1212.0,4452.0,3.67,9년2개월
Seongbuk-dong,2013.0,Seongbuk_gu,1021.0,5115.0,5.01,11년2개월
Samseon-dong,2013.0,Seongbuk_gu,1866.0,9510.0,5.1,8년8개월
Dongseon-dong,2013.0,Seongbuk_gu,1974.0,10170.0,5.15,7년1개월
Jongam-dong,2013.0,Seongbuk_gu,2093.0,7550.0,3.61,8년5개월
Seokgwan-dong,2013.0,Seongbuk_gu,2255.0,8217.0,3.64,8년2개월
Beon 1(il)-dong,2013.0,Gangbuk-gu,1693.0,8783.0,5.19,7년7개월
Beon 2(i)-dong,2013.0,Gangbuk-gu,653.0,3128.0,4.79,9년8개월
Beon 3(sam)-dong,2013.0,Gangbuk-gu,831.0,2556.0,3.08,9년11개월
Suyu 1(il)-dong,2013.0,Gangbuk-gu,1578.0,5125.0,3.25,9년2개월
Suyu 2(i)-dong,2013.0,Gangbuk-gu,1365.0,4357.0,3.19,8년3개월
Suyu 3(sam)-dong,2013.0,Gangbuk-gu,2379.0,8413.0,3.54,7년0개월
Samyang-dong,2013.0,Gangbuk-gu,1228.0,3331.0,2.71,8년5개월
Mia-dong,2013.0,Gangbuk-gu,1967.0,6580.0,3.35,7년3개월
Songjung-dong,2013.0,Gangbuk-gu,2009.0,8463.0,4.21,7년7개월
Songcheon-dong,2013.0,Gangbuk-gu,2268.0,7272.0,3.21,8년9개월
Samgaksan-dong,2013.0,Gangbuk-gu,714.0,2190.0,3.07,7년2개월
Ui-dong,2013.0,Gangbuk-gu,994.0,3478.0,3.5,9년2개월
Insu-dong,2013.0,Gangbuk-gu,1569.0,5792.0,3.69,8년11개월
Ssangmun 1(il)-dong,2013.0,Dobong-gu,911.0,3803.0,4.17,8년10개월
Ssangmun 2(i)-dong,2013.0,Dobong-gu,1227.0,4299.0,3.5,7년7개월
Ssangmun 3(sam)-dong,2013.0,Dobong-gu,897.0,3182.0,3.55,7년3개월
Ssangmun 4(sa)-dong,2013.0,Dobong-gu,594.0,1933.0,3.25,8년3개월
Banghak 1(il)-dong,2013.0,Dobong-gu,2278.0,9931.0,4.36,6년7개월
Banghak 2(i)-dong,2013.0,Dobong-gu,1289.0,2837.0,2.2,7년11개월
Banghak 3(sam)-dong,2013.0,Dobong-gu,888.0,3161.0,3.56,8년10개월
Chang 1(il)-dong,2013.0,Dobong-gu,1078.0,3390.0,3.14,7년9개월
Chang 2(i)-dong,2013.0,Dobong-gu,1331.0,4447.0,3.34,8년1개월
Chang 3(sam)-dong,2013.0,Dobong-gu,964.0,1939.0,2.01,7년6개월
Chang 4(sa)-dong,2013.0,Dobong-gu,1140.0,6738.0,5.91,8년1개월
Chang 5(o)-dong,2013.0,Dobong-gu,2062.0,6654.0,3.23,7년4개월
Dobong 1(il)-dong,2013.0,Dobong-gu,1660.0,5496.0,3.31,8년9개월
Dobong 2(i)-dong,2013.0,Dobong-gu,1394.0,6126.0,4.39,8년1개월
Wolgye 1(il)-dong,2013.0,Nowon-gu,1379.0,5506.0,3.99,8년8개월
Wolgye 2(i)-dong,2013.0,Nowon-gu,1047.0,3592.0,3.43,10년9개월
Wolgye 3(sam)-dong,2013.0,Nowon-gu,950.0,3746.0,3.94,10년9개월
Gongneung 2(i)-dong,2013.0,Nowon-gu,1813.0,10912.0,6.02,9년4개월
Hagye 1(il)-dong,2013.0,Nowon-gu,914.0,6791.0,7.43,9년4개월
Hagye 2(i)-dong,2013.0,Nowon-gu,380.0,1064.0,2.8,11년8개월
Junggyebon-dong,2013.0,Nowon-gu,1158.0,5241.0,4.53,8년3개월
Junggye 1(il)-dong,2013.0,Nowon-gu,910.0,4012.0,4.41,8년6개월
Junggye 4(sa)-dong,2013.0,Nowon-gu,1002.0,3711.0,3.7,7년7개월
Sanggye 1(il)-dong,2013.0,Nowon-gu,2827.0,7954.0,2.81,11년0개월
Sanggye 2(i)-dong,2013.0,Nowon-gu,2176.0,8370.0,3.85,6년6개월
Sanggye 5(o)-dong,2013.0,Nowon-gu,1349.0,3319.0,2.46,7년11개월
Sanggye 8(pal)-dong,2013.0,Nowon-gu,600.0,1885.0,3.14,10년2개월
Sanggye 9(gu)-dong,2013.0,Nowon-gu,730.0,2360.0,3.23,10년11개월
