Dong,사업_생계형사업분포현황종사자수기준_Period,사업_생계형사업분포현황종사자수기준_Gu,사업_생계형사업분포현황종사자수기준_한식음식점업,사업_생계형사업분포현황종사자수기준_의류점,사업_생계형사업분포현황종사자수기준_기타주점업,사업_생계형사업분포현황종사자수기준_부동산자문 및 중개업,사업_생계형사업분포현황종사자수기준_용달 및 개별화물 자동차운송업,사업_생계형사업분포현황종사자수기준_슈퍼마켓,사업_생계형사업분포현황종사자수기준_비알콜 음료점,사업_생계형사업분포현황종사자수기준_두발미용업,사업_생계형사업분포현황종사자수기준_분식 및 김밥전문점,사업_생계형사업분포현황종사자수기준_체인화 편의점,사업_생계형사업분포현황종사자수기준_중국 음식점업,사업_생계형사업분포현황종사자수기준_제과점업,사업_생계형사업분포현황종사자수기준_가정용 세탁업,사업_생계형사업분포현황종사자수기준_노래연습장 운영업,사업_생계형사업분포현황종사자수기준_치킨 전문점,사업_생계형사업분포현황종사자수기준_자동차 전문 수리업,사업_생계형사업분포현황종사자수기준_컴퓨터게임방 운영업,사업_생계형사업분포현황종사자수기준_과실 및 채소소매업,사업_생계형사업분포현황종사자수기준_육류 소매업,사업_생계형사업분포현황종사자수기준_당구장 운영업
Gaepo 1(il)-dong,2013.0,Gangnam-gu,18,10,-,73.0,73,61.0,6,24,5,3,5,6,23,-,6,X,-,8,4,-
Gaepo 4(sa)-dong,2013.0,Gangnam-gu,273,77,38,88.0,69,98.0,70,53,43,46,31,10,44,17,31,113,21,7,9,14
Irwonbon-dong,2013.0,Gangnam-gu,97,6,4,54.0,44,40.0,95,24,23,42,5,21,23,-,6,X,X,12,7,-
Irwon 1(il)-dong,2013.0,Gangnam-gu,293,33,63,30.0,29,55.0,42,42,33,31,23,20,14,27,29,29,37,8,11,16
Irwon 2(i)-dong,2013.0,Gangnam-gu,65,11,7,28.0,24,62.0,15,20,25,22,15,37,16,-,5,-,5,-,5,-
Suseo-dong,2013.0,Gangnam-gu,334,8,42,65.0,36,131.0,70,39,53,28,39,28,18,4,31,X,6,-,4,7
Segok-dong,2013.0,Gangnam-gu,95,X,X,29.0,69,34.0,4,9,X,20,8,3,7,X,9,19,-,-,20,X
Apgujeong -dong,2013.0,Gangnam-gu,1333,1000,317,140.0,5,110.0,433,1059,233,147,123,207,32,34,44,24,16,15,15,16
Cheongdam -dong,2013.0,Gangnam-gu,1152,700,201,245.0,21,71.0,342,1500,111,175,131,90,53,27,35,45,23,9,9,13
Daechi 2(i)-dong,2013.0,Gangnam-gu,1070,270,156,475.0,33,187.0,385,133,153,98,145,64,45,19,69,88,10,40,23,17
Gaepo 2(i)-dong,2013.0,Gangnam-gu,151,22,39,113.0,57,100.0,30,52,53,19,14,25,36,12,35,12,-,8,11,9
Pungnap 1(il)-dong,2013.0,Songpa-gu,116,18,28,30.0,71,39.0,15,36,24,16,8,6,16,14,7,7,19,15,13,3
Pungnap 2(i)-dong,2013.0,Songpa-gu,204,37,36,56.0,84,89.0,44,45,30,50,22,20,25,14,35,11,18,10,14,6
Geoyeo 1(il)-dong,2013.0,Songpa-gu,109,20,40,23.0,67,48.0,13,49,12,29,19,6,17,14,18,12,17,11,7,6
Geoyeo 2(i)-dong,2013.0,Songpa-gu,189,33,50,64.0,114,84.0,31,53,50,37,4,19,23,26,25,25,17,5,17,10
Macheon 1(il)-dong,2013.0,Songpa-gu,104,27,52,52.0,127,64.0,20,45,24,21,14,6,20,11,9,14,14,6,16,4
Macheon 2(i)-dong,2013.0,Songpa-gu,217,96,46,50.0,134,105.0,22,51,24,20,33,28,17,19,13,31,23,24,33,11
Bangi 1(il)-dong,2013.0,Songpa-gu,544,29,77,63.0,39,54.0,92,71,33,59,53,34,25,37,15,54,19,5,4,11
Bangi 2(i)-dong,2013.0,Songpa-gu,1021,73,257,213.0,62,108.0,147,59,69,112,75,58,38,82,55,74,34,9,27,33
Oryun-dong,2013.0,Songpa-gu,44,88,X,43.0,5,69.0,65,30,28,47,81,44,12,-,5,X,7,6,X,-
Ogeum-dong,2013.0,Songpa-gu,477,68,105,94.0,148,128.0,129,82,57,60,33,35,78,30,37,138,21,-,46,15
Songpa 1(il)-dong,2013.0,Songpa-gu,435,38,126,123.0,406,78.0,126,102,54,57,35,33,41,52,28,18,15,5,22,14
Songpa 2(i)-dong,2013.0,Songpa-gu,71,39,19,56.0,47,67.0,53,50,54,33,13,35,15,X,19,4,16,7,9,-
Seokchon-dong,2013.0,Songpa-gu,646,107,168,145.0,97,147.0,141,92,74,116,33,12,73,84,72,54,35,34,19,21
Samjeon-dong,2013.0,Songpa-gu,387,35,117,147.0,101,99.0,77,142,91,77,43,51,53,35,60,94,54,12,19,13
Garakbon-dong,2013.0,Songpa-gu,840,214,196,108.0,91,95.0,188,85,85,104,83,55,43,160,62,37,34,10,9,20
Garak 1(il)-dong,2013.0,Songpa-gu,189,X,X,52.0,26,206.0,4,X,10,X,3,-,4,-,-,9,-,X,-,-
Garak 2(i)-dong,2013.0,Songpa-gu,290,59,80,82.0,83,145.0,48,102,50,37,35,48,36,32,24,97,28,15,27,15
Munjeong 1(il)-dong,2013.0,Songpa-gu,177,337,41,90.0,77,44.0,40,55,37,28,22,51,26,18,35,64,15,3,12,8
Munjeong 2(i)-dong,2013.0,Songpa-gu,308,347,31,171.0,27,51.0,181,99,61,53,58,53,29,6,33,9,8,9,21,5
Jangji-dong,2013.0,Songpa-gu,232,9,38,80.0,154,113.0,32,67,44,45,21,28,28,22,40,31,11,5,13,5
Jamsilbon-dong,2013.0,Songpa-gu,1222,106,459,201.0,53,86.0,221,241,144,142,70,108,57,154,95,68,76,94,27,33
Jamsil 4(sa)-dong,2013.0,Songpa-gu,41,9,10,93.0,28,64.0,10,66,27,13,3,23,18,-,21,-,5,7,13,X
Jamsil 6(yuk)-dong,2013.0,Songpa-gu,369,123,20,88.0,435,48.0,181,70,69,50,57,46,21,3,19,3,X,8,9,7
Jamsil 7(chil)-dong,2013.0,Songpa-gu,-,16,-,25.0,X,22.0,5,10,9,13,7,8,9,-,X,-,-,10,7,-
Jamsil 2(i)-dong,2013.0,Songpa-gu,54,129,4,166.0,20,68.0,42,80,36,39,-,53,26,-,13,-,-,18,9,-
Jamsil 3(sam)-dong,2013.0,Songpa-gu,183,647,11,150.0,16,106.0,163,109,135,57,137,151,29,-,3,6,-,34,18,-
Gangil-dong,2013.0,Gangdong-gu,84,5,14,32.0,114,70.0,44,29,31,46,32,47,19,4,25,11,-,3,18,3
Sangil-dong,2013.0,Gangdong-gu,198,9,84,75.0,164,65.0,39,30,33,23,17,28,22,16,25,17,14,12,15,12
Myeongil 1(il)-dong,2013.0,Gangdong-gu,366,121,88,70.0,95,130.0,93,97,79,51,19,69,29,27,29,23,32,42,24,14
Myeongil 2(i)-dong,2013.0,Gangdong-gu,251,152,73,51.0,22,59.0,86,99,77,48,18,66,22,14,19,14,31,5,8,5
Godeok 1(il)-dong,2013.0,Gangdong-gu,70,X,23,38.0,94,33.0,3,20,13,15,5,4,9,4,10,6,X,6,6,-
Godeok 2(i)-dong,2013.0,Gangdong-gu,92,18,35,50.0,125,65.0,10,25,22,17,21,14,15,9,15,26,19,18,15,4
Amsa 2(i)-dong,2013.0,Gangdong-gu,171,28,31,55.0,82,30.0,34,50,21,27,12,25,15,13,10,14,24,7,9,4
Amsa 3(sam)-dong,2013.0,Gangdong-gu,50,17,7,44.0,65,46.0,X,25,20,14,-,24,18,X,10,9,-,19,12,-
Cheonho 1(il)-dong,2013.0,Gangdong-gu,199,109,58,70.0,144,75.0,62,74,38,45,34,45,31,13,17,17,18,8,19,8
Cheonho 3(sam)-dong,2013.0,Gangdong-gu,315,185,154,94.0,116,84.0,57,100,61,75,16,20,39,32,26,57,26,22,13,16
Seongnae 1(il)-dong,2013.0,Gangdong-gu,416,47,70,63.0,87,99.0,128,26,57,51,28,25,33,12,21,99,8,8,6,16
Seongnae 2(i)-dong,2013.0,Gangdong-gu,454,49,132,104.0,116,82.0,103,117,67,80,42,75,46,37,29,28,47,30,29,16
Seongnae 3(sam)-dong,2013.0,Gangdong-gu,589,101,178,103.0,85,108.0,97,136,107,90,88,64,37,53,56,46,60,38,35,25
Dunchon 1(il)-dong,2013.0,Gangdong-gu,4,56,X,58.0,30,67.0,7,13,6,X,-,5,14,-,-,-,-,X,X,-
Dunchon 2(i)-dong,2013.0,Gangdong-gu,354,33,65,81.0,136,114.0,69,69,44,29,43,37,32,20,37,23,21,24,16,8
Amsa 1(il)-dong,2013.0,Gangdong-gu,296,92,119,92.0,186,164.0,45,99,63,29,28,25,51,46,23,26,40,55,38,25
Cheonho 2(i)-dong,2013.0,Gangdong-gu,1044,639,403,130.0,189,112.0,196,170,97,122,94,71,52,72,41,55,46,58,58,17
Gil-dong,2013.0,Gangdong-gu,931,116,406,216.0,270,138.0,142,160,126,167,44,80,71,87,59,85,94,63,72,30
