Dong,사업_사업체및종사자밀도_Period,사업_사업체및종사자밀도_Gu,사업_사업체및종사자밀도_No. of establishments,사업_사업체및종사자밀도_No. of employee,사업_사업체및종사자밀도_Average worker,사업_사업체및종사자밀도_Establishments density,사업_사업체및종사자밀도_종사자밀도,사업_사업체및종사자밀도_Population density,사업_사업체및종사자밀도_종사자밀도비
Yeomni-dong,2013.0,Mapo-gu,787.0,4964.0,6.31,1830.0,11544.0,38463.0,30.01
Sinsu-dong,2013.0,Mapo-gu,1382.0,5800.0,4.2,1772.0,7436.0,28412.0,26.17
Seogyo-dong,2013.0,Mapo-gu,8274.0,52524.0,6.35,5076.0,32223.0,18509.0,174.1
Hapjeong-dong,2013.0,Mapo-gu,1843.0,9941.0,5.39,1078.0,5813.0,11890.0,48.89
Mangwon 1(il)-dong,2013.0,Mapo-gu,1380.0,4690.0,3.4,1211.0,4114.0,21205.0,19.4
Mangwon 2(i)-dong,2013.0,Mapo-gu,1246.0,3392.0,2.72,1860.0,5063.0,31466.0,16.09
Yeonnam-dong,2013.0,Mapo-gu,1220.0,5242.0,4.3,1877.0,8065.0,31008.0,26.01
Seongsan 1(il)-dong,2013.0,Mapo-gu,1600.0,9378.0,5.86,2000.0,11723.0,26788.0,43.76
Seongsan 2(i)-dong,2013.0,Mapo-gu,1675.0,8434.0,5.04,809.0,4074.0,19719.0,20.66
Sangam-dong,2013.0,Mapo-gu,1761.0,28598.0,16.24,210.0,3405.0,4004.0,85.02
Dohwa-dong,2013.0,Mapo-gu,1855.0,14318.0,7.72,2992.0,23094.0,38344.0,60.23
Seogang-dong,2013.0,Mapo-gu,1395.0,10170.0,7.29,962.0,7014.0,17410.0,40.29
gongdeok-dong,2013.0,Mapo-gu,2622.0,18749.0,7.15,2596.0,18563.0,37118.0,50.01
Ahyeon-dong,2013.0,Mapo-gu,1735.0,12492.0,7.2,2283.0,16437.0,25063.0,65.58
Mok 1(il)-dong,2013.0,Yangcheon-gu,2617.0,22037.0,8.42,1856.0,15629.0,23493.0,66.53
Mok 2(i)-dong,2013.0,Yangcheon-gu,1156.0,3604.0,3.12,1122.0,3499.0,30873.0,11.33
Mok 3(sam)-dong,2013.0,Yangcheon-gu,1227.0,3917.0,3.19,2315.0,7391.0,43723.0,16.9
Mok 4(sa)-dong,2013.0,Yangcheon-gu,1373.0,3666.0,2.67,2409.0,6432.0,50381.0,12.77
Sinwol 1(il)-dong,2013.0,Yangcheon-gu,1779.0,5028.0,2.83,2737.0,7735.0,38028.0,20.34
Sinwol 2(i)-dong,2013.0,Yangcheon-gu,1101.0,3715.0,3.37,1805.0,6090.0,34889.0,17.46
Sinwol 3(sam)-dong,2013.0,Yangcheon-gu,1005.0,4187.0,4.17,1155.0,4813.0,20521.0,23.45
Sinwol 4(sa)-dong,2013.0,Yangcheon-gu,1150.0,3786.0,3.29,2212.0,7281.0,37627.0,19.35
Sinwol 5(o)-dong,2013.0,Yangcheon-gu,951.0,3393.0,3.57,1378.0,4917.0,23988.0,20.5
Sinwol 6(yuk)-dong,2013.0,Yangcheon-gu,1638.0,3473.0,2.12,3995.0,8471.0,30666.0,27.62
Sinwol 7(chil)-dong,2013.0,Yangcheon-gu,1367.0,5355.0,3.92,1149.0,4500.0,20825.0,21.61
Sinjeong 1(il)-dong,2013.0,Yangcheon-gu,1054.0,4451.0,4.22,1506.0,6359.0,28399.0,22.39
