Dong,사업_사업체현황조직형태별_Gu_Gu_Gu,사업_사업체현황조직형태별_합계_사업체수_사업체수,사업_사업체현황조직형태별_합계_사업체수_여성대표자,사업_사업체현황조직형태별_합계_종사자수_계,사업_사업체현황조직형태별_합계_종사자수_남,사업_사업체현황조직형태별_합계_종사자수_여,사업_사업체현황조직형태별_개인_사업체수_사업체수,사업_사업체현황조직형태별_개인_종사자수_종사자수,사업_사업체현황조직형태별_회사법인_사업체수_사업체수,사업_사업체현황조직형태별_회사법인_종사자수_종사자수,사업_사업체현황조직형태별_회사이외의 법인_사업체수_사업체수,사업_사업체현황조직형태별_회사이외의 법인_종사자수_종사자수,사업_사업체현황조직형태별_비법인단체_사업체수_사업체수,사업_사업체현황조직형태별_비법인단체_종사자수_종사자수
Imun 1(il)-dong,Dongdaemun-gu,1476.0,594.0,5316.0,2778.0,2538.0,1355.0,2840.0,43.0,389.0,34.0,1882.0,44.0,205.0
Imun 2(i)-dong,Dongdaemun-gu,732.0,276.0,2183.0,1291.0,892.0,669.0,1302.0,28.0,356.0,11.0,436.0,24.0,89.0
Myeonmok 2(i)-dong,Jungnang-gu,2018.0,645.0,6140.0,3511.0,2629.0,1839.0,4245.0,120.0,1426.0,14.0,320.0,45.0,149.0
Myeonmok 4(sa)-dong,Jungnang-gu,1058.0,395.0,3407.0,1908.0,1499.0,954.0,2126.0,45.0,761.0,24.0,390.0,35.0,130.0
Myeonmok 5(o)-dong,Jungnang-gu,1002.0,284.0,3740.0,2242.0,1498.0,905.0,2398.0,67.0,1158.0,8.0,87.0,22.0,97.0
Myeonmok 7(chil)-dong,Jungnang-gu,1507.0,534.0,4122.0,1989.0,2133.0,1404.0,3308.0,47.0,511.0,10.0,141.0,46.0,162.0
Sangbong 1(il)-dong,Jungnang-gu,1100.0,365.0,6159.0,3186.0,2973.0,896.0,2182.0,142.0,2936.0,25.0,885.0,37.0,156.0
Sangbong 2(i)-dong,Jungnang-gu,2164.0,778.0,9971.0,5491.0,4480.0,1872.0,4934.0,165.0,4013.0,23.0,753.0,104.0,271.0
Junghwa 1(il)-dong,Jungnang-gu,1100.0,358.0,3655.0,1738.0,1917.0,963.0,2214.0,69.0,792.0,18.0,479.0,50.0,170.0
Junghwa 2(i)-dong,Jungnang-gu,2286.0,834.0,6673.0,3534.0,3139.0,2071.0,4724.0,141.0,1593.0,19.0,191.0,55.0,165.0
Muk 1(il)-dong,Jungnang-gu,1503.0,501.0,5870.0,3147.0,2723.0,1293.0,3135.0,122.0,1607.0,26.0,822.0,62.0,306.0
Muk 2(i)-dong,Jungnang-gu,1752.0,521.0,5333.0,3058.0,2275.0,1574.0,3250.0,116.0,932.0,12.0,968.0,50.0,183.0
Mangu 3(sam)-dong,Jungnang-gu,1072.0,365.0,3543.0,1849.0,1694.0,998.0,2496.0,40.0,649.0,6.0,315.0,28.0,83.0
Sinnae 1(il)-dong,Jungnang-gu,1574.0,466.0,7895.0,4561.0,3334.0,1366.0,3076.0,112.0,2362.0,28.0,2131.0,68.0,326.0
Sinnae 2(i)-dong,Jungnang-gu,1074.0,402.0,5172.0,2601.0,2571.0,948.0,1901.0,73.0,632.0,26.0,2496.0,27.0,143.0
