Dong,사업_사업체분포다수업종상위10_Gu_Gu_Gu,사업_사업체분포다수업종상위10_다수업종 상위10_택시운송업_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_택시운송업_종사자수,사업_사업체분포다수업종상위10_다수업종 상위10_한식음식점업_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_한식음식점업_종사자수,사업_사업체분포다수업종상위10_다수업종 상위10_용달 및 개별화물 자동차운송업_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_용달 및 개별화물 자동차운송업_종사자수,사업_사업체분포다수업종상위10_다수업종 상위10_부동산자문 및 중개업_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_부동산자문 및 중개업_종사자수,사업_사업체분포다수업종상위10_다수업종 상위10_기타주점업_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_기타주점업_종사자수,사업_사업체분포다수업종상위10_다수업종 상위10_두발미용업_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_두발미용업_종사자수,사업_사업체분포다수업종상위10_다수업종 상위10_셔츠 및 기타 의복 소매점_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_셔츠 및 기타 의복 소매점_종사자수,사업_사업체분포다수업종상위10_다수업종 상위10_셔츠 및 외의 도매업_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_셔츠 및 외의 도매업_종사자수,사업_사업체분포다수업종상위10_다수업종 상위10_비알콜 음료점업_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_비알콜 음료점업_종사자수,사업_사업체분포다수업종상위10_다수업종 상위10_기타음·식료품 위주 종합소매업_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_기타음·식료품 위주 종합소매업_종사자수
Seogyo-dong,Mapo-gu,33,33,605,2492,58,58.0,149.0,300.0,503,1801,175,741,305,876,25,108,457,1729,54,144
Hapjeong-dong,Mapo-gu,48,48,116,356,86,91.0,52.0,88.0,61,103,36,65,11,32,7,83,75,248,16,33
Mangwon 1(il)-dong,Mapo-gu,93,93,104,246,104,111.0,48.0,66.0,38,61,49,59,17,22,X,7,16,27,17,28
Mangwon 2(i)-dong,Mapo-gu,80,80,88,206,94,95.0,41.0,56.0,30,48,44,48,24,27,-,-,20,26,18,29
Yeonnam-dong,Mapo-gu,56,56,72,241,46,51.0,36.0,103.0,40,80,27,37,12,24,4,13,39,82,17,36
Seongsan 1(il)-dong,Mapo-gu,78,254,68,214,75,75.0,44.0,76.0,20,34,22,28,11,37,6,42,24,54,21,52
Seongsan 2(i)-dong,Mapo-gu,143,341,79,211,121,123.0,52.0,74.0,21,40,38,63,57,102,X,2,17,55,28,53
Sangam-dong,Mapo-gu,87,836,207,722,77,113.0,49.0,68.0,24,68,24,41,10,15,3,219,69,224,25,63
Dohwa-dong,Mapo-gu,47,47,127,504,37,46.0,56.0,110.0,59,142,35,75,16,21,4,31,33,102,17,30
Seogang-dong,Mapo-gu,51,51,92,305,45,45.0,63.0,77.0,47,97,30,53,12,21,5,56,75,202,16,42
gongdeok-dong,Mapo-gu,104,104,186,596,94,96.0,111.0,164.0,74,141,67,89,8,9,10,69,40,89,46,84
Ahyeon-dong,Mapo-gu,45,45,95,319,48,48.0,75.0,132.0,47,71,32,76,12,16,3,18,24,76,28,48
Mok 1(il)-dong,Yangcheon-gu,38,38,191,1011,35,42.0,68.0,115.0,54,188,50,218,117,250,3,14,67,362,16,42
Mok 2(i)-dong,Yangcheon-gu,90,90,69,184,88,88.0,66.0,90.0,27,57,42,70,18,20,-,-,16,38,26,61
Mok 3(sam)-dong,Yangcheon-gu,63,63,77,196,72,83.0,49.0,71.0,49,97,58,94,31,50,X,5,12,34,22,39
