Dong,사업_사업체현황종사자규모별_Gu_Gu_Gu,사업_사업체현황종사자규모별_합계_사업체수_사업체수,사업_사업체현황종사자규모별_합계_사업체수_여성대표자,사업_사업체현황종사자규모별_합계_종사자수_계,사업_사업체현황종사자규모별_합계_종사자수_남,사업_사업체현황종사자규모별_합계_종사자수_여,사업_사업체현황종사자규모별_1~4명_사업체수_사업체수,사업_사업체현황종사자규모별_1~4명_종사자수_종사자수,사업_사업체현황종사자규모별_5~9명_사업체수_사업체수,사업_사업체현황종사자규모별_5~9명_종사자수_종사자수,사업_사업체현황종사자규모별_10~19명_사업체수_사업체수,사업_사업체현황종사자규모별_10~19명_종사자수_종사자수,사업_사업체현황종사자규모별_20~49명_사업체수_사업체수,사업_사업체현황종사자규모별_20~49명_종사자수_종사자수,사업_사업체현황종사자규모별_50~99명_사업체수_사업체수,사업_사업체현황종사자규모별_50~99명_종사자수_종사자수,사업_사업체현황종사자규모별_100~299명_사업체수_사업체수,사업_사업체현황종사자규모별_100~299명_종사자수_종사자수,사업_사업체현황종사자규모별_300~499명_사업체수_사업체수,사업_사업체현황종사자규모별_300~499명_종사자수_종사자수,사업_사업체현황종사자규모별_500~999명_사업체수_사업체수,사업_사업체현황종사자규모별_500~999명_종사자수_종사자수,"사업_사업체현황종사자규모별_1,000명 이상_사업체수_사업체수","사업_사업체현황종사자규모별_1,000명 이상_종사자수_종사자수"
Sinwol 5(o)-dong,Yangcheon-gu,951.0,333.0,3393.0,1697.0,1696.0,823.0,1349.0,76.0,482.0,32.0,426.0,12,326,5,406,3,404,-,-,-,-,-,-
Sinwol 6(yuk)-dong,Yangcheon-gu,1638.0,260.0,3473.0,2353.0,1120.0,1531.0,1845.0,57.0,342.0,34.0,494.0,12,406,3,201,1,185,-,-,-,-,-,-
Sinwol 7(chil)-dong,Yangcheon-gu,1367.0,417.0,5355.0,3472.0,1883.0,1226.0,1879.0,84.0,519.0,36.0,482.0,9,247,5,397,5,910,1,414,1,507,-,-
Sinjeong 1(il)-dong,Yangcheon-gu,1054.0,475.0,4451.0,2205.0,2246.0,895.0,1593.0,105.0,640.0,33.0,412.0,13,382,3,194,3,418,2,812,-,-,-,-
Sinjeong 2(i)-dong,Yangcheon-gu,1103.0,452.0,3708.0,1672.0,2036.0,922.0,1591.0,118.0,761.0,41.0,531.0,19,550,2,174,1,101,-,-,-,-,-,-
Sinjeong 3(sam)-dong,Yangcheon-gu,1991.0,629.0,7934.0,4610.0,3324.0,1717.0,2745.0,161.0,998.0,57.0,750.0,36,1071,13,931,6,1065,1,374,-,-,-,-
Sinjeong 6(yuk)-dong,Yangcheon-gu,693.0,278.0,5130.0,2616.0,2514.0,529.0,968.0,92.0,579.0,40.0,526.0,19,534,5,343,6,808,1,387,1,985,-,-
Sinjeong 7(chil)-dong,Yangcheon-gu,1016.0,359.0,4365.0,2501.0,1864.0,869.0,1472.0,89.0,588.0,26.0,347.0,23,662,6,408,2,408,1,480,-,-,-,-
Mok 5(o)-dong,Yangcheon-gu,1489.0,666.0,9703.0,4239.0,5464.0,1167.0,2115.0,175.0,1121.0,95.0,1236.0,27,824,13,949,11,1693,-,-,-,-,1,1765
Sinjeong 4(sa)-dong,Yangcheon-gu,3010.0,1115.0,12547.0,6821.0,5726.0,2467.0,4304.0,347.0,2194.0,114.0,1472.0,58,1749,16,1181,7,1087,-,-,1,560,-,-
Yeomchang-dong,Gangseo-gu,2157.0,701.0,15145.0,9222.0,5923.0,1531.0,2664.0,333.0,2156.0,176.0,2326.0,73,2236,23,1676,18,2826,2,683,1,578,-,-
Deungchon 1(il)-dong,Gangseo-gu,1742.0,568.0,10265.0,5964.0,4301.0,1294.0,2398.0,265.0,1706.0,109.0,1456.0,51,1466,14,990,6,914,2,788,1,547,-,-
Deungchon 2(i)-dong,Gangseo-gu,712.0,240.0,3351.0,1921.0,1430.0,588.0,937.0,68.0,433.0,26.0,343.0,18,587,8,629,4,422,-,-,-,-,-,-
Deungchon 3(sam)-dong,Gangseo-gu,2296.0,755.0,19501.0,9766.0,9735.0,1638.0,3010.0,330.0,2205.0,174.0,2288.0,97,2710,36,2479,15,2293,1,320,4,3120,1,1076
