Dong,사업_대표자연령대별사업체현황_Gu_Gu,사업_대표자연령대별사업체현황_total_No. of establishments,사업_대표자연령대별사업체현황_total_No. of employee,사업_대표자연령대별사업체현황_20대 이하(29세 이하)_No. of establishments,사업_대표자연령대별사업체현황_20대 이하(29세 이하)_No. of employee,사업_대표자연령대별사업체현황_30대(30~39세)_No. of establishments,사업_대표자연령대별사업체현황_30대(30~39세)_No. of employee,사업_대표자연령대별사업체현황_40대(40~49세)_No. of establishments,사업_대표자연령대별사업체현황_40대(40~49세)_No. of employee,사업_대표자연령대별사업체현황_50대(50~59세)_No. of establishments,사업_대표자연령대별사업체현황_50대(50~59세)_No. of employee,사업_대표자연령대별사업체현황_60대 이상(60세 이상)_No. of establishments,사업_대표자연령대별사업체현황_60대 이상(60세 이상)_No. of employee
Garibong-dong,Guro-gu,1032.0,2877.0,9,14,94.0,190.0,294.0,825.0,414.0,1336.0,221.0,512.0
Guro 2(i)-dong,Guro-gu,7577.0,25793.0,56,105,770.0,1784.0,2535.0,6872.0,3016.0,13194.0,1200.0,3838.0
Gaebong 1(il)-dong,Guro-gu,1772.0,5381.0,21,58,198.0,539.0,486.0,1258.0,701.0,2251.0,366.0,1275.0
Gasan-dong,Geumcheon-gu,11813.0,140007.0,128,626,1433.0,11058.0,4786.0,45942.0,4290.0,59283.0,1176.0,23098.0
Doksan 1(il)-dong,Geumcheon-gu,3233.0,18814.0,39,110,291.0,1231.0,934.0,5805.0,1340.0,7547.0,629.0,4121.0
Doksan 2(i)-dong,Geumcheon-gu,1237.0,3323.0,17,53,111.0,234.0,353.0,890.0,505.0,1250.0,251.0,896.0
Doksan 3(sam)-dong,Geumcheon-gu,2226.0,8511.0,43,84,179.0,424.0,631.0,1845.0,923.0,4575.0,450.0,1583.0
Doksan 4(sa)-dong,Geumcheon-gu,1060.0,3096.0,24,65,99.0,219.0,316.0,900.0,416.0,1374.0,205.0,538.0
Siheung 1(il)-dong,Geumcheon-gu,3018.0,13368.0,51,104,308.0,1049.0,789.0,4574.0,1233.0,4990.0,637.0,2651.0
Siheung 2(i)-dong,Geumcheon-gu,551.0,1787.0,3,4,71.0,145.0,150.0,484.0,216.0,793.0,111.0,361.0
Siheung 3(sam)-dong,Geumcheon-gu,3182.0,9142.0,33,71,233.0,515.0,930.0,2121.0,1470.0,4723.0,516.0,1712.0
